Globasa	Eng with Senses	German	Dutch	Old English (ca. 450-1100)	Ancient Greek (to 1453)	Latin	French	Italian	Russian	Yiddish	Hebrew	Arabic	Mandarin Chinese	Japanese	Turkish	Tatar
suhegras																
suheprumu																
suheputo																
sui																
suibloki																
suifobi																
suikal																
suipeldo																
suipul																
suisokutu																
sujeto																
sukeri																
sukerosu																
suki	like [to enjoy]	Vorliebe <f>; mögen, gern haben	favoriet <m>, voorkeur <m>; houden van, lusten, leuk vinden, graag lusten, graag (hebben)	; līcian	; φιλέω	; fruor, amō, dīligō, approbō, libet, probō, placeo	préférence <f>; plaire (à), aimer, bien aimer	preferenza <f>; piacere a	; люби́ть		; אָהַב	; أَحَبَّ, اِسْتَمْطَعَ, حَبَّ, أَعْجَبَ	; 喜歡 /喜欢	好み; …が好き, 好む	; sevmek, hoşlanmak	
sukigi																
sukses	succeed [To obtain the object desired; to accomplish what is attempted or intended; to have a prosperous issue or termination; to be successful]	Erfolg <m>; gelingen, Erfolg haben, erfolgreich sein, geraten	succes <n>, welgang <m>, goed gevolg <n>	spēd <f>; spōwan	εὐπραγία <f>	successus <m>, fructus; succēdō, vigeō	succès <m>; réussir, avoir du succès	successo <m>; riuscire	успе́х <m>, уда́ча <f>; дости́чь це́ли, преуспе́ть, достига́ть це́ли	הצלחה <f>	הַצלָחָה <f>; עָשָׂה חַיִל, הִצְלִיחַ	نَجَاح <m>; نَجَحَ	成功; 成功	成功; 成功する	sükse, başarı	уңыш
suksespul																
sukwa	watermelon [plant|fruit]	Wassermelone <f>	watermeloen <f>			citrullus <m>	melon d'eau <m>, pastèque <f>	cocomero <m>, anguria <f>	арбу́з <m>	אַרבוז <m>, קאַווענע <f>	אֲבַטִּיחַ <m>	بَطِّيخَة <f>, بَطِّيخ, سندية, دَلَّاع <m>, بَطِّيخَة <f>, بَطِّيخ	西瓜	スイカ	karpuz, karpuz, alakavun, alkavun	карбыз
Sulawesi																
sulfur	sulfur [element]	Schwefel <m>	zwavel <m>	swefl <m>	θεῖον <n>	sulpur <n>, sulfur <n>, sulphur <n>	soufre <m>	zolfo <m>	се́ра <f>	שוועבל <m>	גָּפְרִית <f>	كِبْرِيت <m>	硫, 硫黄	硫黄	kükürt	күкерт
suli																
suli namelexi																
suli tosifulexi																
Sulu																
sumake																
sumbole																
sumul																
suna																
sunami																
sunatofa																
sunayen																
sungay																
sungayne																
sungen																
sungenkal																
sungenkalgi																
sungo																
suo	left [west side of the body when one is facing north]	link	links, linker	winestra	λαιός, ἀριστερός, εὐώνυμος	laevus, scaevus, sinister	gauche	sinistro	ле́вый	לינק	שְׂמֹאל	يسار, شُمال, يَسَار, شِمَال, شمال		左	sol	сул
suohantafil																
suohantali																
suohantaya																
supa	soup [dish]	Suppe <f>	soep <f>		ζωμός <m>, ἔτνος <n>, δωμός <m>	iūs <n>, intrita <f>	velouté, soupe <f>, potage <m>	minestra <f>, zuppa <f>, brodo <m>	ю́шка <f>, уха́ <f>, похлёбка <f>, суп <m>	זופּ <f>	מָרָק <m>	شُرْبَة <f>, شُورَبَة <f>, حَسَاء <m>	湯 /汤	スープ, 汁, 露	çorba	шулпа
super																
supra	above [in or to a higher place], over [physical positioning: on top of; above]	über	hoger dan, boven, op, boven, over		ὑπέρ	supra, super, suprā	sur, au-dessus de	sopra	над	איבער	מעל	فَوْقَ, فَوقَ	在...上面, 在……之上	...の上に, 上に	yukarıya, üstünde	
supra-	over- [above or higher]	über-				super-	sur-	sopra-	сверх-, пере-	איבער־			過度 /过度			
supracu																
suprafuha																
supragebo																
supragi																
supraidi	climb [to ascend, to go up]	; steigen, klettern	; klimmen	; stīgan		; scandō, ascendō	; grimper, monter	; arrampicare, salire, scalare	; подня́ться, поднима́ться	; שטײַגן	; האמיר, עלה	; تَسَلَّقَ	; 登	; 登る	; tırmanmak	
suprali																
suprarealsim	hyperrealistic [Translations]															
supratui 	thigh [upper leg]	Oberschenkel <m>	dij <f>, bovenbeen <n>	þēoh <n>	μηρός <m>	femur <n>	cuisse <f>	coscia <f>	бедро́ <n>, ля́жка	דיך <m>/<f>	יָרֵךְ <f>	فَخِذ <m>, فَخْذ <m>	大腿	股, 腿, 太股	uyluk, but	бот, bot
supraxanse																
supraya																
suprayen	superior [person of higher rank]	Vorgesetzter <m>, Vorgesetzte <f>	meerdere <m>/<f>				supérieur <m>/<f>						上級 /上级, 上司	貴人, 目上		
suprem																
supremmo																
sura	sun [a star, especially when seen as the centre of any single solar system]	Sonne <f>	zon <f>	sunne <f>	ἥλιος <m>	sōl <m>	soleil <m>	sole <m>	со́лнце <n>	זון <f>	שֶׁמֶשׁ <m>/<f>, כּוֹכָב <m>	شمس, شَمْس <f>, شمس, شمش <f>, شَمْس <f>, شمس <f>		太陽, 恒星, 日	güneş	кояш
suratu																
surfi																
Suri	Syria [country in Western Asia]	Syrien <n>	Syrië <n>		Συρία <f>		Syrie <f>	Siria <f>	Си́рия <f>	סיריע <f>	סוּרְיָה <f>	سُورِيَّة <f>, سُورِيَا <f>	敘利亞 /敍利亞 /叙利亚	シリア	Suriye	Сүрия
Surinam	Suriname [country]	Suriname <n>, Surinam <n>	Suriname <n>			Surinamia <f>	Suriname <m>, Surinam <m>	Suriname <m>	Сурина́м <m>	סורינאַם <n>	סוּרִינָם <f>	سُورِينَام <f>	蘇里南	スリナム	Surinam	Суринам
surka	vinegar [condiment]	Essig <m>	azijn <m>	æċed <n>	τάργανον <n>, ὄξος <n>	acētum <n>	vinaigre <m>	aceto <m>	у́ксус <m>, о́цет <m>	עסיק <m>	חומץ \ חֹמֶץ <m>	خَلّ <m>	醋	酢, ビネガー	sirke	серкә
surprisa																
surprisaatake																
susana																
Susana																
susu																
sutun	pillar [large post, often used as supporting architecture], column [upright supporting structure]	Säule <f>, Säule <f>, Pfeiler <m>	kolom <m>/<f>, zuil, pilaar, pijler		κίων <m>/<f>, στῦλος <m>	columna <f>	pilier <m>, pile <f>, colonne	pilastro <m>, colonna <f>	столб <m>, коло́нна <f>		עמוד <m>, עַמּוּד <m>	عَمُود <m>, عمود	支柱, 柱子, 梁柱, 柱, 柱子	柱	sütun, direk, kolon, sütun	багана
sutyen	bra [brassiere]	Busenhalter <m>, BH <m>, Büstenhalter <m>	beha <m>, bustehouder <m>		στρόφιον <n>	cestus <m>, strophium <n>	soutif, brassière <f>, soutien-gorge <m>	reggipetto <m>, reggiseno <m>	ли́фчик <m>, бюстга́льтер <m>	סטאַניק	חֲזִיָה \ חזייה <f>	حَمَّالَة صَدْر <f>, مِشَدّ صَدْر <m>	奶罩, 胸罩, 乳罩	ブラジャー, ブラ, 乳押さえ	sütyen, sutyen	күкрәкчә
suxey	possession [something that is owned]	Gut <n>	bezitting <f>	āgenung <f>, ǣht <f>	κτῆμα <n>, κτέαρ <n>	bonum <n>	bien <m>		со́бственность <f>, иму́щество <n>, скарб <m>, добро́ <n>			مُمْتَلَك <m>	財產 /财产, 所有物	保有物, 所有物		
suya	possess [to have (something) as, or as if as, an owner], own [have rightful possession of]	; besitzen, haben, besitzen	bezit <n>, bezittingen; bezitten, hebben, bezitten	ǣht <f>; āgnian, āgan, besittan, āgan	κτῆσις <f>, κατοχή <f>; κέκτημαι	; habeō, teneō, possideō, habeō, possideō	propriété <f>, possession <f>; posséder, avoir, posséder	possesso <m>; avere, possedere, possedere	владе́ние <n>, облада́ние <n>; владе́ть, облада́ть, име́ть		; שייך ל־, היה ל־, but see יש ל־	عُهْدَة <f>, مُلْكِيّة <f>, حَوْزَة, حَوْزَة; تَمَلَّكَ, حَازَ, اِمْتَلَكَ, مَلَكَ, مَلَكَ	佔有 /占有; 所有, 拥有, 有, 抱有, 具備 /具备, 擁有 /拥有, 具备, 所有, 具有	所持, 所有, 保持, 保有; 所有する, 占有する, 所有する, 所持する	; sahip olmak, sahip olmak, malik olmak	
suyali pornamelexi																
suyali sifalexi																
suyayen	owner [one who owns]	Besitzer <m>, Eigentümerin <f>, Inhaber <m>, Eigentümer <m>, Besitzerin <f>	eigenares <n>, bezitster <f>, bezitter <m>, eigenaar <m>	āgend <m>	κτήτωρ <m>	possessor, dominus	propriétaire <m>/<f>	proprietaria <f>, proprietario <m>	хозя́йка <f>, владе́лица <f>, обладатель <m>, владе́лец <m>, со́бственница <f>, со́бственник <m>, обладательница <f>, хозя́ин <m>		בַּעֲלָה <f>, בַּעַל <m>	صَاحِبَة <f>, مَالِكَة <f>, صَاحِب <m>, مَالِك <m>	所有者, 主人	所有者, オーナー, 主人, 持ち主	malik, sahip, elmen, iye	хуҗа
suyon	swim [move through water]	Schwimmen <n>; schwimmen	zwemmen <n>; zwemmen		; νέω, νήχομαι, κολυμβάω	natātiō <f>; no, nato	natation <f>; nager	nuoto <m>, nuotata <f>; natare, nuotare	плыть; плыть, пла́вать	; שווימען	; שָׂחָה	سِبَاحَة <f>, سَبْحَة <f>; سَبَحَ	; 游泳	泳ぎ, 水泳; 泳ぐ	yüzme; yüzmek	; йөзәргә
suyondom																
suyongi																
suyonkostum																
suyonlabas																
suyontul	fin [appendage of a fish|appendage of a cetacean or other marine animal|device used by divers]	Flosse <f>	zwemvlies <m>, flipper <m>, vin <m>/<f>	finn <m>	πτερύγιον <n>	penna <f>, pinna <f>	palme <f>, aileron <m>, nageoire <f>, nageoire <f>	pinna <f>	ласт <m>, ла́сты <m>, плавни́к <m>, перо́ <n>, ласт <m>, плавни́к <m>		סְנַפִּיר <m>	زِعْنِفَة <f>		鰭, フィン	yüzgeç, yüzme paleti, palet	
suyonyen	swimmer [one who swims]	Schwimmerin <f>, Schwimmer <m>	zwemmer <m>, zwemster <f>	swimmend <m>	κολυμβητής <m>	natator <m>	nageuse <f>, nageur <m>	nuotatrice <f>, nuotatore <m>	плове́ц <m>, пловчи́ха <f>	שווימער <m>	שחיינית <f>, שחיין <m>	سَبَّاح <m>, عَوَّام <m>	游泳運動員 /游泳运动员, 游泳選手 /游泳选手, 游泳者	泳ぐ人, 泳ぎ手, 水泳選手, スイマー	yüzücü	
Swahili																
Swahilisa	Swahili [language]	Suaheli <n>, Swahili <n>	Swahili <n>			lingua Swahelica <f>, lingua Suahelica <f>	swahili <m>		суахи́ли <m>	סוואַהילי <n>	סְוָהִילִית <f>, סווהילית, סְוָהִילִי, סווהילי	السَّوَاحِلِيَّة <f>	斯瓦希里語 /斯瓦希里语	スワヒリ語	Sevahilice	
Swahiliyen																
swal	ask [request an answer]	Frage <f>, Anfrage <f>; stellen, fragen	vraag <f>; vragen	āscung <f>; friġnan, āscian, biddan	ἐρώτημα <n>; ἐρεείνω, ἐρωτάω, ἠρόμην	rogātiō <f>; scīscitor, scito, scīscō, scītor, rogō, quaerō	question <f>; poser une question, demander	domanda <f>; domandare, interrogare, chiedere	вопро́с <m>; задава́ть, зада́ть, спроси́ть, спра́шивать	פֿראַגע <f>; פֿרעגן	שְׁאֵלָה <f>; שָׁאַל	سؤال <m>, سُؤَال <m>, سؤال <m>; سأل, سول, سأل, سَأَلَ, سقصى, سال		質問; 質問する, 尋ねる, 聞く, 伺う	soru; sormak	сорау
Swatini	Eswatini [country in Southern Africa — see also Swaziland]	Eswatini <n>					eSwatini, Eswatini	eSwatini	Эсвати́ни <f>			إِسْوَاتِينِي <f>	埃斯瓦蒂尼, 史瓦帝尼, 伊斯瓦蒂尼	エスワティニ	Esvatini	
swe																
Sweri																
Swerili	Swedish [of or pertaining to Sweden|of or pertaining to the Swedish language]	schwedisch	Zweedse, Zweeds, Zweeds	Swēonisċ		suecus	suédois	svedese	шве́дский	שוועדיש	שוודי \ שְׁוֶדִי	سُوَيْدِيّ	瑞典的	スウェーデン語の, スウェーデンの	İsveçli, İsveç	швед
Swerisa	Swedish [language]	Schwedisch <n>	Zweeds <n>			lingua Suecica <f>	suédois <m>	svedese <m>	шве́дский <m>	שוועדיש <n>	שבדית <f>	سُوَيْدِيَّة <f>	瑞典語 /瑞典语	スウェーデン語	İsveççe	
Sweriyen	Swede [person from Sweden or of Swedish descent]	Schwede <m>, Schwedin <f>	Zweedse <f>, Zweed <m>	Swēon <m>			Suédois <m>, Suédoise <f>	svedese <m>/<f>	шве́дка <f>, швед <m>	שוועד <m>	שוודי	سُوِيدِيّ	瑞典人	スウェーデン人	İsveçli	
sweta																
swetagi																
swetapul																
sweter																
swici																
swikara	accept [to receive with consent|to agree to]	Annahme <f>; annehmen, akzeptieren, abnehmen, annehmen, zustimmen, akzeptieren, zusagen	acceptatie; aanvaarden, accepteren	andfang <m>; onfōn, þafian, cēosan	ἀποδοχή <f>	acceptiō <f>; accipiō, audiō, scīscō, habeō, accipio, audio, scisco	acceptation <f>; accepter (de), accepter	accettazione <f>; accettare, accettare, ammettere	получе́ние <n>; приня́ть, согласи́ться, соглаша́ться, принима́ть		; קִבֵּל, קיבל, הסכים	قَبُول <m>, قُبُول <m>; قَبِلَ	; 同意, 贊同 /赞同, 贊成 /赞成, 接受	; 受け取る, 受け入れる, 受ける, 受理する, 賛同する, 同意する, 引き受ける, 承諾する, 賛成する	kabul; kabul etmek	
swikaranenible																
swimo																
swini	pig [mammal of genus Sus]	Schwein <n>, Docke <f>, Wutz <f>, Hausschwein <n>, Sau <f>, Mocke <f>, Sou <f>	varken <n>, zwijn <n>	swīn <n>	χοῖρος <m>, ὗς (hûs) <m>/<f>	sūs, porcus <m>	cochon <m>, porc <m>, pourceau <m>	suino <m>, porco <m>, maiale <m>	свинья́ <f>, бо́ров <m>	חזיר <m>, כאַזער <m>	חֲזִיר <m>	حَلُوف <m>, حلوف <m>, خنزير <m>, خَنْزير <m>, خنزير <m>, حلوف, خنزير, خنزير <m>, خِنْزِير <m>		ブタ, 豚	domuz, hınzır	чучка, дуңгыз
swinimaso	pork [meat of a pig]	Schweinernes <n>, Schwein <n>, Schweinefleisch <n>, Schweiners <n>	varkensvlees <n>	swīn <n>, swīnes flǣsċ <n>	χοίρεια <n>	carō porcī <f>, (carō) porcīna <f>, (carō) suilla <f>	cochon <m>, porc <m>	suino <m>, maiale <m>, carne suina <f>	свини́на <f>	שװײַן <m>	בָּשָׂר לָבָן <m>, חֲזִיר <m>	لَحْم الْخِنْزِير <m>	豬肉 /猪肉	ポーク, 豚肉	domuz eti, domuz	
Switze	Switzerland [sovereign country]	Schweiz <f>	Zwitserland <n>			Helvētia <f>	Suisse <f>	Svizzera <f>	Швейца́рия <f>	שווייץ <f>	שְׁוַיְץ <f>, שְׁוֵיצָרִִיָּה <f>	سُوِيسْرَا <f>, سْوِيسْرَا <f>	瑞士	スイス, 瑞西	İsviçre	Швейцария
Switzeli	Swiss [of or pertaining to Swiss language(s) or Swiss dialect(s)|of or pertaining to the Swiss people]	schweizerisch	Zwitsers				suisse	svizzero	швейца́рский	שווייצער				スイスの		
Switzeyen	Swiss [Swiss person]	Schweizer <m>, Schweizerin <f>	Zwitserse <f>, Zwitser <m>				Suissesse <f>, Suisse <m>	svizzero <m>, svizzera <f>	швейца́рка <f>, швейца́рец <m>			سْوِيسْرِيَّة <f>, سْوِيسْرِيّ <m>, سُوِيسْرِيَّة <f>, سُوِيسْرِيّ <m>	瑞士人	スイス人	İsviçreli	
Swomi	Finland [Nordic country]	Finnland <n>	Finland <n>			Fennia <f>, Finnia <f>, Finlandia <f>	Finlande <f>	Finlandia <f>	Финля́ндия <f>, Суо́ми <f>	פֿינלאַנד <n>	פִינְלַנְד <f>	فِنْلَنْدَة <f>, فِنْلَنْدَا <f>	芬蘭 /芬兰	フィンランド	Finlandiya	Финландия
Swomili	Finnish [of Finland|of the Finnish language]	finnisch	Fins			fennicus, finnicus	finnois, finnoise, finlandais	finlandese	фи́нский, финля́ндский, фи́нский	פֿיניש	פִינִי, פינית	فِنْلَنْدِيّ	芬蘭語的 /芬兰语的, 芬蘭的 /芬兰的	フィンランドの, フィンランド語の	Fin, Fince	
Swomisa																
Swomiyen	Finn [ethnic Finn]	Finne <m>, Finnin <f>	Fin <m>, Finse <f>				Finnoise <f>, Finnois <m>	finnico <m>	финн <m>, фи́нка <f>					フィン人	Fin	
syahe	black [absorbing all light]	schwarz	zwart	blæc, sweart	ἀμαυρός, κελαινός, μέλας, μαυρός	ater, niger	noir	nero	вороно́й, чёрный	שוואַרץ	שחור \ שָׁחֹר, שחורה \ שְׁחֹרָה	سَوْدَاء, أسود, سود, أَسْوَد, سُود, كحل, اسود		黒色の, 黒い	siyah, kara	кара
syahe prumu																
syaheberi																
syahemo																
syensi	science [collective discipline of learning acquired through the scientific method]	Wissenschaft <f>	wetenschap <f>		ἐπιστήμη <f>	scientia <f>	science <f>	scienza <f>	нау́ка <f>	וויסנשאַפֿט <f>	מַדָּע <m>	عِلْم <m>		サイエンス, 科学	fen, bilim, ilim	фән, гыйлем
syensili	scientifically [with regard to science]	wissenschaftlich	wetenschappelijk				scientifique; scientifiquement	scientifico; scientificamente	нау́чный	וויסנשאַפֿטלעך	מַדָּעִי	عِلْمِيّ	科學的 /科学的; 科学的	科学的	bilimsel	
syensiyen	scientist [one whose activities make use of the scientific method]	Wissenschaftlerin <f>, Wissenschafterin <f>, Wissenschaftler <m>, Wissenschafter <m>	wetenschapper <m>, wetenschapster <f>				savant <m>, savante <f>, scientifique <m>/<f>	scienziata <f>, ricercatrice <f>, scienziato <m>, ricercatore <m>	учёный <m>, учёная <f>	וויסנשאַפֿטלער <m>, וויסנשאַפֿטלערין <f>	מדענית <f>, מַדְעָן <m>	عَالِمَة <f>, عَالِم <m>	科學家 /科学家	科学者	ilim kadını (obsolecent) <f>, bilim kadını <f>, âlim <m>, ilim adamı (obsolecent) <m>, bilim insanı, âlime <f>, bilim adamı	галим
Syeraleon	Sierra Leone [Republic of Sierra Leone]	Sierra Leone <n>	Sierra Leone <n>			Mons Leoninus <m>	Sierra Leone <f>	Sierra Leone <f>	Сье́рра-Лео́не <f>		סיירה לאון <f>	سِيرَالِيُون <f>	塞拉利昂	シエラレオネ	Sierra Leone	Sierra Leone
Syon	"Zion [hill (""mount"") in Israel]"	Zion <m>			Σιών <f>	Sīōn	Sion <f>		Сио́н <m>	ציון <f>	ציון \ צִיּוֹן <f>	صَهْيُون <m>, صِهْيُون <m>, صِهْيَوْن <m>, صُهْيُون <m>	錫安 /锡安	シオン, ザイオン	Siyon	
tabako	tobacco [any plant of the genus Nicotiana]	Tabak <m>, Tabakpflanze <f>	tabaksplant <f>, tabak <m>				tabac <m>	tabacco <m>	таба́к <m>	טאַבאַק <m>	טַבָּק <m>	دُخَان <m>, تِبْغ <m>, تَبْغ <m>, تُمْبَك <m>, دُخَّان <m>	煙草 /烟草	たばこ, タバコ, 煙草	tütün	төтен, тәмәке
tabar																
tabasum																
tabasumgi																
tabel	table [grid of data in rows and columns]	Tabelle <f>, Spiegel <m>	tabel <m>			rationarium <n>	tableau <m>	tabella <f>	табли́ца <f>		טַבְלָה <f>	جَدْوَل <m>		表, テーブル	tablo, cetvel	җәдвәл
tableta																
tabriku																
tabu																
tabutu																
taco																
tadiku																
tafasir	interpret [to apprehend and represent by means of art], render [to interpret]	; interpretieren, wiedergeben, vortragen, aufführen, interpretieren	; uitleggen, duiden			; interpretor	; interpréter	; interpretare	; интерпрети́ровать					; 演出する, 演奏する		
tahal																
tahamul	bear [to tolerate, to put up with]	Toleranz <f>; ausstehen, leiden, erdulden, uushalte, ertragen, aushalten	verdraagzaamheid <f>, tolerantie <f>; ondergaan, verdragen		ἀνοχή <f>	; habeo, suffero, tolerō	tolérance <f>; tolérer, supporter	tolleranza <f>; sopportare	толера́нтность <f>, терпи́мость <f>, толера́стия <f>; вы́терпеть, выноси́ть, вы́нести, терпе́ть		סובלנות; סבל	تَسَامُح <m>; اِحْتَمَلَ	寬容 /宽容	寛容; 耐える, 耐え忍ぶ	tolerans; katlanmak	
tahta	board [long, wide and thin piece of wood or other material]	Brett <n>	plank <f>	bord <n>	ἄβαξ <m>, σανίς <f>	tabula <f>	planche <f>	tavola <f>, asse <f>	доска́ <f>	ברעט <f>/<n>, טאָוול <m>	לוּחַ <m>	خَشَبَة <f>, لَوْحَة <f>	板, 板子	板	tahta	такта
tahtu	throne [ornate seat]	Thron <m>	troon <m>	cynesetl <n>	θρόνος <m>	thronus <m>, solium <n>	trône <m>	trono <m>	трон <m>, стол <m>, престо́л <m>	טראָן <m>	כֵּס <m>, כִּסֵּא הַכָּבוֹד <m>, כִּיסֵּא מַלְכוּת <m>	وِثَاب <m>, سَرِير <m>, عَرْش <m>, كُرْسِيّ <m>, تَخْت <m>	皇位, 御座, 寶座 /宝座, 王座, 王位	王座, 玉座	taht	тәхет
tahyo																
tair																
taji																
takibu																
taklidu																
taklidudo																
takliduyen																
tako	taco [Mexican snack food]	Taco <m>	taco <m>				taco <m>		та́ко <m>	טאַקאָ <m>		تاكو <m>	墨西哥夾餅 /墨西哥夹饼, 玉米麵豆卷 /玉米面豆卷	タコ, タコス		
taksi	taxi [vehicle available for public hire]	Taxe <f>, Taxi <n>	taxi <m>			taxiraeda <f>	taxi <m>, taxi-auto <m>	taxì <m>, taxi <m>, tassì <m>	такси́ <n>, таксомото́р <m>	טאַקסי <m>	מוֹנִית <f>	سَيَّارَةْ أُجْرَة <f>, تَاكْسِي <m>	的士, 出租車 /出租车, 德士, 出租汽車 /出租汽车, 計程車 /计程车	タクシー, 辻自動車	taksi	
taksiyen	taxi driver [person who drives a taxicab]	Droschkenfahrer <m>, Taxifahrerin <f>, Taxifahrer <m>	taxichauffeur <m>				chauffeur de taxi <m>, chauffeuse de taxi <f>	taxista <m>/<f>, tassista <m>/<f>	такси́стка <f>, такси́ст <m>			سَائِق تَاكْسِي <m>, سَائِقَة تَاكْسِي <f>	出租車司機 /出租车司机	タクシー運転手	taksi şoförü, taksici	
talento																
talentopul																
talisman																
talitipu																
taluji		Schnee <m>	sneeuw <m>	snāw <m>	χιών <f>	nix <f>	neige <f>	neve <f>	снег <m>	שניי <m>	שֶׁלֶג <m>	تلج <m>, ثَلْج <m>, تلج <m>, ثلج <m>		雪	pük, kar	кар
talujibunhway																
talujimon																
talujitahta																
talyum	thallium [chemical element]	Thallium <n>	thallium <n>			thallium	thallium <m>	tallio <m>	та́ллий <m>	טאַליום <m>	תליום	ثَالْيُوم <m>	鉈 /铊	タリウム	talyum	
tamadun		Kultur <f>, Zivilisation <f>	beschaving <f>			exculta hominum vīta <f>	civilisation <f>	civiltà <f>	цивилиза́ция <f>, культу́ра <f>	ציוויליזאַציע <f>	ציוויליזציה <f>, צִיוִילִיזַצְיָה	تَمَدُّن <m>, مَدَنِيَّة <f>, حَضَارَة <f>	文明	文明	medeniyet, uygarlık, ekinç	
tamadundo																
tamaduntim																
tamal																
tamaluku																
tamarin	tamarind [fruit]	Tamarinde <f>					tamarin <m>	tamarindo <m>	тамари́нд <m>	טאַמאַרינד <m>			酸荳 /酸豆	タマリンド	demirhindi, Hint hurması	
tamba	copper [chemical element Cu]	Kupfer <n>	koper <n>	ār <n>	χαλκός <m>	cuprum <n>, aes <n>, cyprum <n>, aerāmen <n>	cuivre <m>	rame <m>	ку́прум <m>, медь <f>	קופּער <n>	נְחֹשֶׁת <f>, נחושת	نُحَاس <m>, نحاس, نحاس, نَحَاس <m>		カッパー, 銅	bakır	бакыр
tamburin	tambourine [percussion instrument]	Tamburin <n>	tamboerijn <m>				tambourin <m>, tambour de basque <m>	tamburello <m>	тамбури́н <m>, бу́бен <m>			دَفّ <m>	鈴鼓 /铃鼓	鈴鼓, タンバリン	tef	
tami	sweet [having a taste of sugar]	süß	zoet		γλυκύς	dulcis	sucré	zuccheroso, dolce	сла́дкий		מָתוֹק		甜	甘い	şirin, tatlı	татлы
Tamil	Tamil Nadu [state in southern India]	Tamil Nadu <n>					Tamil Nadu <m>		Тами́л На́ду <m>		טאמיל נאדו	تَامِيل نَادُو <m>	泰米爾納德 /泰米尔纳德	タミル・ナードゥ州, タミル・ナードゥ		
Tamilli	Tamil [of or pertaining to the Tamil people, culture, or language]	tamilisch	Tamil-				tamoul	tamulo, tamil	тами́льский				泰米爾 /泰米尔			
Tamilsa	Tamil [the language]	Tamilisch <n>, Tamil <n>	Tamil <n>				tamoul <m>		тами́л <m>, тами́льский язы́к <m>, тами́льский <m>		טמילית	تَامِيلِيّ <m>, لُغَة تَامِيلِيَّة <f>	泰米爾語 /泰米尔语	タミル語		
Tamilyen	Tamil [person]	Tamile <m>, Tamilin <f>	Tamil <m>				Tamoul <m>, Tamoule <f>		тами́л <m>, тами́лка <f>				泰米爾人 /泰米尔人	タミル人		
tamipatato																
tamixey																
tamiya																
tamlam																
tampon																
tange																
tangente	tangent [in trigonometry]	Tangens <m>	tangens <m>				tangente <f>	tangente <f>	та́нгенс <m>		טנגנס <m>	ظِلّ الزَّاوِيَة <m>	正切	タンジェント, 正接	tanjant	
tanke	tank [armoured fighting vehicle]	Tank <m>, Panzer <m>	tank <m>			autocurrus armatus <m>	tank <m>, char de combat <m>, char d'assaut <m>	carro armato <m>	танк <m>	טאַנק <m>	טַנְק <m>	دَبَّابَة <f>		戦車	tank	
tantalum	tantalum [element]	Tantal <n>	tantalium <n>, tantaal <n>			tantalium	tantale <m>	tantalio <m>	танта́л <m>		טנטלום	تَنْتَالُم <m>	鉭 /钽	タンタル	tantal	
tanxiku																
tanxikugi																
Tanzani	Tanzania [United Republic of Tanzania]	Tansania <n>	Tanzania <n>			Tanzania <f>	Tanzanie <f>	Tanzania <f>	Танза́ния <f>	טאַנזאַניע	טנזניה <f>	تَنْزَانْيَا <f>	坦桑尼亞 /坦桑尼亚	タンザニア	Tanzanya	
tapir	tapir [large odd-toed ungulate with a long prehensile upper lip of the family Tapiridae]	Tapir <m>	tapir <m>, boskoe				tapir <m>, maïpouri <m>	tapiro <m>	тапи́р <m>		טפיר	تَابِير <m>	貘	バク	tapir	
taradudu																
taraf	party [group of people forming one side in a given dispute, contest etc.], side [set of opponents in a game|group having a particular allegiance in a war]	Partei <f>	kant <m>, ploeg <f>, partij <f>				faction <f>, équipe <f>	squadra <f>	сторона́ <f>		צַד <m>	حِزْب <m>, طَرَف <m>	組 /组	側	zümre	
tarafkal	impartially [in an impartial manner]	unparteilich, unparteiisch; unparteilich, unparteiisch	onpartijdig		ἀδέκαστος		impartial	imparziale	непредубеждённый, беспристра́стный, непредвзя́тый; беспристра́стно, справедли́во				公平, 不偏不倚的, 公正		tarafsız, yansız, adil	
taraftim																
tarafya	bias [inclination towards something; predisposition, partiality]	Verzerrung <f>, Neigung <f>, Ausrichtung <f>, Voreingenommenheit <f>, Vorliebe <f>	vooringenomenheid <f>, neiging, vooroordeel <n>			praeiūdicium <n>	parti-pris <m>, préjugé <m>	influenza <f>, predilezione, preferenza <f>, predisposizione <f>, pregiudizio <m>, ubbia <f>, tendenza <f>, inclinazione <f>	предубежде́ние, предвзя́тость <f>		נטאי <m>, נטייה <f>, דעה קדומה <f>, הטיה <f>	تَحَيُّز <m>	偏见	傾向, 偏見, 偏り, 性癖		
tarahon																
tarbux																
tarhaxkun																
tarihe																
tarki	turkey [bird in the genus Meleagris]	Truthenne <f>, Trute <f>, Truthuhn <n>, Pute <f>, Truthahn <m>, Kurrhahn <m>, Kurre <f>, Indian <m>, Puter <m>	kalkoen <m>			gallopāvō <f>	dindon <m>, dinde <f>	tacchina <f>, gallinaccio <m>, tacchino <m>, pollo d’India <m>	ту́рка <f>, индю́к <m>, индю́шка <f>, инде́йка <f>	אינדיק <m>	הֹדּוּ <m>, תַּרְנְגוֹל הֹדּוּ <m>	دِيك رُومِيّ <m>, دِيك هِنْدِيّ <m>, دِيك اَلْحَبَش <m>	火雞 /火鸡, 吐綬雞 /吐绶鸡	七面鳥, カラクン, カラクン鳥, ターキー	culuk, hindi	күркә
