Word	EnglishTranslation	Pronoun (raw)	Pronoun
kone	knowledge, acquaintance, familiarity; know, be acquainted with, be familiar with		to
konestable	constable	te	te
konferensi	conference, convention		to
konfeti	confetti	to	to
konflito	conflict; conflict (with), clash (with)		to
konforta	comfort; make comfortable, feel comfortable		to
Konfuci	Confucius	te	te
konhwoku	confusion, perplexity, bafflement; be confused, be perplexed, be baffled, be bewildered, confuse, perplex, baffle, bewilder	to	to
Konkan	Konkan (_western coastal region in India_)	to	to
Konkansa	Konkani (language)	to	to
Konkanyen	Konkani (person)	te	te
konkure	competition; compete (against)		to
konkurexey	contest, competition, match	to	to
konkureyen	competitor, contestant, contender	te	te
konsol	console	to	to
konsonan	consonant		to
kontamina	contamination, pollution; contaminate, pollute		to
kontaminaente	contaminant	to	to
kontato	contact; contact		to
konte	count, countess, earl	te	te
kontraste	contrast; contrast		to
kontrata	contract (_legally binding_)		to
konus	cone	to	to
kopa	glass, tumbler, cup, mug (any drinking vessel other than bottles)	to	to
kopakeke	cupcake	to	to
kopernikyum	copernicium, Cn	to	to
kopi	copy, duplicate; copy, duplicate		to
kopihaki	copyright		to
korbani	victim		te
kordo	cord, rope		to
Korea	Korea		
Koreasa	Korean (language)	to	to
Koreayen	Korean (person)	te	te
koridor	corridor, hallway, aisle		to
Korinto	Corinth	to	to
korku	cork (_material_), phellem	to	to
korno	horn	to	to
koronel	colonel	te	te
korsaro	pirate, corsair	te	te
korseto	corset	to	to
koryandro	coriander, cilantro		te, to
kosa	cause; cause		to
kosamon	factor		to
kosino	cosine		to
kosmo	universe	to	to
kosmologi	cosmology	to	to
kosmonaviyen	astronaut, cosmonaut	te	te
kosta	coast, shore	to	to
Kostarika	Costa Rica	to	to
Kostarikayen	Costa Rican (person)	te	te
kostrui	construction, building; construct, build	to	to
kostruixey	building	to	to
kostruiyen	builder	te	te
kostum	costume, suit	to	to
kosya	is because of, is due to	to	to
Kotivwar	Côte d'Ivoire, Ivory Coast	to	to
koton	cotton	to	to
kotorya	dirtiness, uncleanliness	to	to
kotu	coat, overcoat	to	to
kowa	power, force		to
koyote	coyote	te	te
krabe	crab, _Brachyura_	te	te
krabemaso	crab (_meat_), crabmeat	to	to
krampe	contraction, convulsion, seizure, spasm, cramp, twitch; contract, convulse, spasm, twitch, cramp	to	to
krasi	government, rule, control; govern, rule, control	to	to
krasidoku	constitution	to	to
krasisistema	regime		
krasitim	government		
krasiyen	ruler	te	te
krater	crater	to	to
kravata	tie, necktie	to	to
kraw	crow, raven, _Corvus_	te	te
krawsa	caw	to	to
krea	creation; create, make, generate		to
kreaabilya	creativity	to	to
kreaxey	(a) creation	to	to
kreayen	creator, author	te	te
kredito	credit; credit	to	to
kreditokarta	credit card	to	to
krema	cream, paste	to	to
kren	crane		te
krenberi	cranberry, _Oxycoccus_	te, to	to, te
kreol	creole (language)		to
kreyon	crayon	to	to
krigiri	cricket, _Ensifera_	te	te
kriketo	cricket (_sport_)	to	to
krimen	crime		to
krimencipen	fraud; defraud		to
krimenyen	criminal	te	te
krimu	cream (_dairy_)	to	to
kriputon	krypton, Kr	to	to
krisis	crisis		to
kristal	crystal		to
Kristo	Christ		te
Kristodin	Christmas	to	to
Kristofe	Christopher	te	te
Kristoismo	Christianity	to	to
Kristoista	Christian	te	te
kroa	frog, toad, _Anura_	te	te
krokodil	crocodile	te	te
kromosom	chromosome		to
kromyum	chromium, Cr	to	to
kruasan	croissant	to	to
kruelya	cruelty	to	to
Kuba	Cuba	to	to
kube	vault, dome, cupola	to	to
kubo	cube	to	to
kudu	elbow	to	to
kuflu	lock; lock	to	to
kuhan	hump	to	to
kukabura	kookaburra, _Dacelo_	te	te
kuki	HTTP cookie, browser cookie, web cookie, Internet cookie, cookie (_computer_)	to	to
kuku	chicken, hen, rooster, _Gallus_	te	te
kukuhwa	chrysanthemum	te	te
kukumaso	chicken (_meat_)	to	to
kulabu	hook; hook	to	to
kulom	coulomb, C	to	to
kultu	cult		
kultura	culture		to
kulunge	pickaxe, pick, mattock	to	to
kulye	kidney	to	to
kumari	gambling, bet, wager; gamble, bet, wager		to
kumax	piece of cloth		to
kumi	spider, _Araneae_	te	te
kumifobi	arachnophobia	to	to
kumineto	spider web, spider's web, cobweb	to	to
kundeya	dullness, bluntness	to	to
kungan	space, room		to
kunganje	volume (_of space_)	to	to
kunkwatu	kumquat, _Citrus japonica_	te, to	to, te
kuo	hoe; hoe	to	to
kupon	coupon		to
Kuran	(the) Qur'an, Quran, Koran		
Kurasao	Curaçao		
kuri	curry	to	to
kurkuma	turmeric, kumkuma	to	to
kursi	chair	to	to
kurtina	curtain		to
kurtocu	; shorten (_become short_)	to	to
kurtogi	; shorten (_make short_)	to	to
kurtoya	shortness	to	to
kuruca	warbler	te	te
kuryum	curium, Cm	to	to
kusen	cushion		to
kustardi	custard	to	to
kutle	clump, mass, lump, clod, glob, blob, nugget		to
kutubu	pole (_geography_)	to	to
kutububaru	polar bear, _Ursus maritimus_	te	te
kuvu	mold, mould, mildew	te	te
Kuweyti	Kuwait	to	to
kuxti	wrestling; wrestle		to
kuxtiyen	wrestler	te	te
kuzin	cousin	te	te
kwake	duck	te	te
kwalita	quality, calibre		to
kwangu	ore	to	to
kwanli	administration, management; administer, manage		to
kwanlitim	administration, management		
kwanliyen	administrator, manager	te	te
kwanti	quantity, amount		to
kwantilexi	quantifier	to	to
kwantum	quantum		
kwarentin	quarantine; quarantine	to	to
kwarku	quark		to
kwarzo	quartz 	to	to
kwasiatre	step-parent, stepparent	te	te
kwasibete	step-child, stepchild, step-daughter, stepdaugher, step-son, stepson	te	te
kwasigi	pretending; pretend, feign	to	to
kwasilexi	onomatopoeia	to	to
kwasipatre	stepfather	mante	mante
kwasisodar	step-brother, step-sister, stepbrother, stepsister	te	te
kweten	defect, flaw, shortcoming; break (_make or become defective_)		to
kwota	quota	to	to
kyamatu	apocalypse, armageddon, doomsday, eschaton		to
kyosko	kiosk		to
kyota	nest		to
kyu	letter q		to
labas	clothing, clothes, garment; wear		to
labasalkoba	closet		to
labasalmari	wardrobe	to	to
labasgebo	sleeve	to	to
labasgi	dress	to	to
labaskaxa	chest of drawers, dresser	to	to
label	label, tag, tab; label, tag, tab	to	to
labirin	labyrinth, maze	to	to
lablabu	ivy, _Hedera_	te	te
Labrador	Labrador	te	te
labya	lip	to	to
lafuzu	pronunciation; pronounce		to
lagun	lagoon	to	to
laklake	stork, _Ciconiiformes_	te	te
Lakxadwipa	Lakshadweep, Laccadive		
lala	song; sing		to
lalagi	cause (somebody) to sing, make (somebody) sing	to	to
lalatim	boy band, girlgroup		
lalayen	singer	te	te
lamabiologi	paleontology	to	to
lamaje	age; have age of	to	to
lamalogi	archaeology	to	to
lamameter	date, measure age of	to	to
lamaya	oldness	to	to
lamese	touch; touch		to
lamperey	lamprey, _Petromyzontiformes_	te	te
lampu	lamp	to	to
lanca	launch; launch		to
lanetu	condemnation, damnation; condemn, sentence, damn, doom		to
lankan	handrail, banister, railing		to
lantanum	lanthanum, La	to	to
laocu	; age, become old, grow old	to	to
laoje	age; have age of	to	to
laonini	tween, pre-teen, pre-adolescent		te
laoya	old age	to	to
laoyen	senior, elderly person, old man, old lady	te	te
Laptev	Laptev	te	te
lari	collective group, collection, set, lot; collect		
laringe	larynx	to	to
larva	larva	te	te
laser	laser		to
lateksu	latex	to	to
Latinika	(Spanish and Portuguese speaking) Latin America 		to
Latinikayen	Latina, Latino, Latin person	te	te
Latinsa	Latin (language)	to	to
Latvi	Latvia	to	to
Latvisa	Latvian (language)	to	to
Latviyen	Latvian (person)	te	te
lava	lava		to
lavenda	lavender (flower), _Lavandula_	te	te
lavraki	perch, bass, _Perciformes_	te	te
lawfen	bother, annoyance, vexation; bother, annoy, vex, bug, be bothered, be annoyed, be vexed, be bugged	to	to
Lawi	Laos	to	to
Lawisa	Lao (language)	to	to
lawrel	laurel, bay leaf	te	te
lawrensyum	lawrencium, Lr	to	to
laxocu	; loosen (become loose), become flaccid, become limp	to	to
laxogi	; loosen (cause to be loose), make (something) flaccid, make (something) limp	to	to
laxoya	looseness, flaccidity, limpness	to	to
layeya	worth, worthiness, merit; deserve	to	to
Lazarev	Lazarev	te	te
lazurdi	lapis lazuli, azure	to	to
leaxam	eve	to	to
ledin	yesterday (_in the past_), days gone by	to	to
lefeatre	ancestor, forefather, foremother	te	te
lefeatrelogi	genealogy	to	to
lefeeksame	pretest		to
lefeeskol	preschool		to
lefefikso	prefix	to	to
lefegaminame	maiden name		to
lefeixara	omen, sign, portent, presage; foreshadow, portend, be a sign of		to
lefejadin	presupposition, presumption; presuppose, presume		to
lefelexi	foreword, preamble, prolog(ue)	to	to
lefeloga	prediction; predict		to
lefeoko	foresight; foresee	to	to
lefeplasilexi	preposition	to	to
lefeyam	appetizer; have an appetizer, eat as an appetizer 	to	to
lega	law	to	to
legajeni	bill (law)		to
legalogi	jurisprudence, science of law, philosophy of law, theory of law, law specialty	to	to
legami	ex-spouse		te
legayen	lawyer, attorney	te	te
leim	glue; glue		to
lemur	lemur, _Lemuroidea_	te	te
lense	lens		to
lenterna	lantern		to
leopar	leopard, _Panthera pardus_	te	te
Leotardo	Léotard	te	te
lepresidiyen	ex-president	te	te
Lesbo	Lesbos	to	to
Lesutu	Lesotho	to	to
leta	lying; lie, be lying		to
letagi	laying; lay	to	to
letuka	lettuce	te, to	to, te
Levante	Levant	to	to
Levi	Levi	te	te
levita	levitation; levitate, hover, float (in air)		to
levura	(brewer's) yeast, leaven, leavening; leaven	to	to
lexi	word, term; word	to	to
lexiasel	etymology		to
lexilari	vocabulary, lexicon		to
lexilogi	lexicology	to	to
leximon	syllable		to
lexiyuxi	word-play, wordplay		to
leya	(the) past; be before	to	to
Liberi	Liberia	to	to
Libi	Libya	to	to
Libiyen	Libyan (person)	te	te
lici	lychee, litchi (fruit)	te, to	to, te
lide	lead, leadership, direction, conduction; lead, direct, conduct		
lidetim	leadership		
lideyen	leader, director, conductor	te	te
lideyenya	leadership	to	to
Lidya	Lydia	te	te
lifafa	envelope, wrapping; envelop, wrap		to
lifti	lift, raising; lift, raise		to
liftitora	elevator	to	to
liftitul	lever	to	to
lihemu	welding, soldering; weld, solder		to
lihemuyen	welder, solderer	te	te
Lihtenstayn	Liechtenstein	to	to
Lihtenstaynyen	Liechtensteiner	te	te
lijun	profit (_economics_); profit	to	to
lika	lick; lick		to
likakendi	lollipop	to	to
likwido 	liquid, fluid; liquify, liquefy (_turn or become liquid_)		to
likwidocu	liquefaction; liquify, liquefy (_become a liquid_)	to	to
likwidogi	liquefaction; liquify, liquefy (_turn into a liquid_)	to	to
lilaku	lilac, _Syringa_	te	te
lilalogi	modification, adjustment; modify, adjust	to	to
lilatex	spark	to	to
lilbage	speck		to
lilbarix	drizzle	to	to
lilbaytu	hut, cottage	to	to
lilbete	grandson, granddaughter, grandchild, grandchildren	te	te
lilcinon	stupidity, idiocy		to
lilcu	; shrink, become or get small or little	to	to
lildahun	leaflet, slip (of paper)	to	to
lildexa	micronation	to	to
lildolo	alley		to
lildrumu	snare drum, side drum	to	to
lileksame	quiz; quiz		to
lileskirti	miniskirt	to	to
lilflutu	piccolo	to	to
lilgi	; shrink, cause (something) to be small or little, make (something) small or little	to	to
lilhaha	giggle; giggle	to	to
lilhaliju	bay	to	to
liljabal	hill		to
lilkitabu	booklet	to	to
lilloga	whisper; whisper		to
lilmegu	cloudlet, cloudling	to	to
lilmwa	peck; peck		to
lilnahir	stream, brook	to	to
lilnavi	boat		to
lilpala	whisper; whisper		to
lilpanda	lesser panda, red panda, panda, _Ailuridae_	te	te
lilpetra	pebbles	to	to
lilplaneta	minor planet	to	to
lilsigaro	cigarette	to	to
lilsoksu	ankle sock	to	to
lilsomno	nap; take a nap, doze		to
liltunge	keg	to	to
lilvento	breeze	to	to
lilxaher	borough, town		to
lilya 	smallness	to	to
lilyao	nibble		to
limacen	five hundred		to
limagon	pentagon	to	to
limite	limit; limit		to
limitexey	limitation	to	to
limon	lemon	te, to	to, te
limonsui	lemonade	to	to
limu	lime	te, to	to, te
limusui	limeade	to	to
linea	line		to
linfa	lymph	to	to
linku	connection, link, bond; connect, link		to
linkulexi	conjunction	to	to
linkuli falelexi	copula	to	to
linkutul	(hyper)link	to	to
linxam	fir, _Abies_	te	te
linxe	lynx	te	te
lista	list		to
literatur	literature		to
litro	liter, litre, L	to	to
lityum	lithium, Li	to	to
liu	willow, sallow, osier, withy, _Salix_ (tree)	te	te
livermoryum	livermorium, Lv	to	to
lixiku	interest (_finance_)		to
lizarde	lizard	te	te
lobo	lobe, lobo-		to
lobuster	lobster, _Nephropidae_	te	te
loga	statement, utterance; say, tell, state, utter		to
logalari	dialog, dialogue (_script_)		to
logaritma	logarithm		to
logi	specialty, science (of), philosophy (of), study (of), art (of)	to	to
logika	logic		to
loka	location, place, site, position; be located, be found, be situated		to
lokagi	; situate	to	to
lokamon	spot 		to
lokayen	local	te	te
Lorenso	Laurence, Lawrence, Lorenzo		
lori	truck, lorry, camion	to	to
losyon	lotion		to
loteri	lottery	to	to
lotus	lotus, sacred lotus, Indian lotus, _Nelumbo_	te	te
Lubanon	Lebanon	to	to
Lubanonyen	Lebanese (person)	te	te
lubi	love; love		to
lubidoste	partner, boyfriend, girlfriend		te
lubiyen	lover	te	te
lubrika	lubrication; lubricate		to
lubrikaente	lubricant	to	to
ludan	brigade		
ludu	funnel	to	to
Luis	Lewis, Louis, Louise	te	te
Luka	Luke, Lucas	te	te
luksi	lux (unit)	to	to
lukso	luxury		to
lula	lulling; lull		to
lumen	lumen (unit), lm	to	to
lumin	light; illuminate, light, emit light (on)		to
luminnyan	light year, ly	to	to
lumintowa	lighthouse	to	to
Luna	Earth's moon		
lunadin	Monday	to	to
lunalumin	moonlight		to
lungocu	; lengthen (_become long_)	to	to
lungogi	; lengthen (_cause to be long_)	to	to
lungoje	length; measure the length of	to	to
lungoya	longness	to	to
Luter	Luther	te	te
Luterismo	Lutheranism	to	to
lutesyum	lutetium, Lu	to	to
lutra	otter, _Lutrinae_	te	te
Lutsemburgi	Luxembourg	to	to
Lutsemburgisa	Luxembourgish (language)	to	to
Lutsemburgiyen	Luxembourger	te	te
lutuf	kindness		to
lutufxey	favor	to	to
lyama	llama, _Lama glama_	te	te
Lyetuva	Lithuania	to	to
Lyetuvasa	Lithuanian (language)	to	to
Lyetuvayen	Lithuanian (person)	te	te
lyudon	flow; flow		to
lyutu	lute	to	to
macete	machete	to	to
macwi	anesthesia; anesthetize	to	to
macwiente	anesthetic, anaesthetic	to	to
Madagaskar	Madagascar	to	to
maderi	matter		to
maderiismo	materialism	to	to
maderiista	materialist	te	te
maderixey	substance, stuff	to	to
mafu	forgiveness; forgive, excuse		to
mafupeti	apology; apologize, ask for forgiveness		to
Magdalen	Magdalene, Madeline, Madeleine	te	te
magika	magic		to
magikayen	magician	te	te
magma	magma		to
magnesyum	magnesium, Mg	to	to
magneto	magnet, (magnetic) pull; attract	to	to
magnetoya	magnetism	to	to
Magribi	Morocco	to	to
Magribiyen	Moroccan	te	te
Magyar	Hungary	to	to
Magyarsa	Hungarian (language)	to	to
Magyaryen	Hungarian (person)	te	te
mahamel	velvet	to	to
mahara	skill		to
Maharaxtra	Maharashtra (_state in India_)	to	to
Maharaxtrasa	Marathi (language)	to	to
Maharaxtrayen	Marathi (person)	te	te
mahi	fish; fish	te	te
mahibujo	fishing; fish		to
mahibujoyen	fisherman, fisher	te	te
mahilogi	ichthyology	to	to
mahimaso	fish (_meat_)	to	to
mahiyen	fisherman, fisher	te	te
mahiyow	fish oil	to	to
mais	corn	te, to	to, te
majam	marrow, medulla, pith		to
majangu	majong	to	to
Majeli	Marshall Islands	to	to
Majelisa	Marshallese (language)	to	to
majin	measles	to	to
majnuniya	craziness, insanity	to	to
majnuniyen	madman, madwoman, crazy person, insane person	te	te
majoram	marjoram, _Origanum majorana_		te
makale	article (_publication_)		to
Makedoni	Macedonia		
Makedonisa	Macedonian (language)	to	to
Makedoniyen	Macedonian (person)	te	te
maku	(blood) vessel	to	to
maladresu	; misaddress		to
malaham	misunderstanding; misunderstand	to	to
Malaki	Malachi	te	te
malarya	malaria	to	to
Malawi	Malawi	to	to
Malawiyen	Malawian (person)	te	te
Malaysi	Malaysia	to	to
Malaysiyen	Malaysian (person)	te	te
maldoxo	misreading; misread		to
maldoyday	; mistreat, abuse		to
malfahuriya	arrogance	to	to
malfale	misdeed		to
malforma	misformation; misform		to
malgida	misguidance; misguide		to
malharufi	misspelling; misspell		to
malhesabu	miscount		to
Mali	Mali	to	to
malinforme	misinformation; misinform		to
Maliyen	Malian (person)	te	te
malkadam	misstep, trip, stumble		to
mallide	; mislead		to
malloga	wrongness; be mistaken, be in the wrong		to
malpala	; misspeak		to
Malta	Malta	to	to
Maltasa	Maltese (language)	to	to
Maltayen	Maltese (person)	te	te
Maluku	Molucca, Maluku		
malwatuxey	anachronism	to	to
malwatuyen	anachronist, anachronism	te	te
malxanse	misfortune		to
malxengi	miscarriage, abortion; miscarry, abort	to	to
malxey	error, mistake; err, make a mistake, be mistaken	to	to
malxinen	heresy, heterodoxy	to	to
malya	wrongness, incorrectness	to	to
malyongu	misuse,  waste (_money, etc._), abuse (_drugs, etc._)		to
mama	mom		femte
mama ci	mommy		femte
mamba	source, spring		to
mamo	breast	to	to
mamoyen	mammal	te	te
mamutu	mammoth, _Mammuthus_	te	te
manati	manatee, _Trichechidae_	te	te
manbete	son	mante	mante
manbwaw	(male) dog	mante	mante
mandarin	mandarin (orange), _Citrus reticulata_	te, to	to, te
mandolin	mandolin	to	to
mandoste	guy friend, male friend		mante
manduke	duke	mante	mante
maneken	mannequin	to	to
maner	manner, way, fashion, means		to
manerlexi	adverb	to	to
mangami	husband		mante
manganis	manganese, Mn	to	to
mango	mango	te, to	to, te
mangwafu	widower	mante	mante
manhirxa	stag, buck	mante	mante
manika	mania	to	to
Manipur	Manipur (_state in India_)	to	to
Manipursa	Meitei, Manipuri, Meitheilon, Kathe (language)	to	to
Manipuryen	Meitei, Manipuri (person)	te	te
manixu	man		mante
manjaniku	catapult; catapult		to
mankala	mancala	to	to
mankonte	count	mante	mante
mankuku	rooster	mante	mante
mankuzin	(male) cousin	mante	mante
manlilbete	grandson	mante	mante
manmeme	ram	mante	mante
manmumu	bull	mante	mante
mannepoti	nephew	mante	mante
mannini	boy		mante
manprince	prince	mante	mante
manrahibu	monk, brother		mante
mansenyor	gentleman, sir, Mr.		mante
mansi	divination; divine, foretell, foresee	to	to
mansodar	brother	mante	mante
manteo	god		mante
mantie	uncle	mante	mante
mantol	mantle		to
manuma	stallion, male horse	mante	mante
manwangu	king	mante	mante
manya	masculinity	to	to
manyen	male, man, young man, guy, boy, dude, bloke	mante	mante
mapa	mom, dad, folks (_parents_)	te	te
mapa ci	mommy, daddy		te
maple	maple	te	te
mara	time, occasion		to
maraton	marathon		to
mardiben	ladder		to
mare	(female) pastor, priestess; Mother		femte
Margaret	Margaret	te	te
margarin	margarine	to	to
Maria	Mary, Maria	te	te
Marihi	Mars (_planet_)	to	to
marihidin	Tuesday	to	to
Marihiyen	Martian	te	te
marimba	marimba	to	to
marine	marinade; marinate	to	to
marixal	marshall	te	te
marka	mark, grade (_schooling_); mark		to
Marko	Mark, Marcus	te	te
Markse	Marx	te	te
Markseismo	Marxism	to	to
marmelada	jelly, jam, marmelade, confiture	to	to
marmor	marble (_material_)	to	to
marmota	marmot, groundhog, woodchuck, _Marmota_		te
marsepan	marzipan	to	to
marsupi	marsupium, pouch	to	to
marsupiyen	marsupial	te	te
Marta	Martha	te	te
marximalo	marshmallow	to	to
maryami	sage, _Salvia_		te
masaji	massage; massage		to
masajiyen	massage therapist, masseur, masseuse	te	te
mase	mass (_physics_)	to	to
masele	issue, matter, affair		to
masku	mask; mask	to	to
maskuyen	masked person	te	te
maso	meat, flesh	to	to
masodukan	butcher shop, butcher's, butchery	to	to
Masok	Masoch	te	te
Masokismo	Masochism	to	to
Masokista	Masochist	te	te
masonenyamyen	vegetarian	te	te
masoyen	butcher	te	te
Masri	Egypt	to	to
Masrisa	Egyptian (language)	to	to
Masriyen	Egyptian	te	te
masulcu	; become responsible (for)	to	to
masulcudu	; take on (_responsibilities_)		to
masulgi	; make (somebody) responsible (for), put (somebody) in charge (of)	to	to
masulwoju	handle, deal with, take care of		to
masulya	responsibility; have the responsibility (to), be responsible (for)	to	to
matemati	mathematics, math, maths		to
matematiyen	mathematician	te	te
Mateo	Matthew	te	te
materyal	material		to
matrasu	mattress		to
matre	mother		femte
matreya	motherhood	to	to
matris	matrix		to
matu	mate (_chess_), checkmate		to
maux	mouse	te, to	to, te
Mawris	Mauritius	to	to
Mawrisyen	Mauritian (person)	te	te
Mawson	Mawson	te	te
maxamikucu	; deepen, become deeper	to	to
maxamikugi	; deepen, make deeper	to	to
maxbalacu	; strengthen, become stronger	to	to
maxbalagi	; strengthen, make stronger	to	to
maxboncu	; improve, get better	to	to
maxbongi	improvement, betterment; improve, (make) better	to	to
maxburcu	; worsen, get worse, become worse	to	to
maxburgi	; worsen, make worse	to	to
maxcotecu	; become shorter, get shorter	to	to
maxcu	increase, rise	to	to
maxdaifucu	; weaken, become weaker, get weaker	to	to
maxdaifugi	; weaken, make weaker	to	to
maxdambocu	become thinner, get thinner, become slimmer, get slimmer, become slenderer, get slenderer, become leaner, get leaner	to	to
maxdambogi	make thinner, make slimmer, make slenderer, make leaner	to	to
maxdaycu	; enlarge, become bigger, get bigger, become larger, get larger	to	to
maxdaygi	; enlarge, make bigger, make larger	to	to
maxgi	increase	to	to
maxhanmancu	become slower, reduce speed	to	to
maxhanmangi	make slower	to	to
maximumya	(the) maximum	to	to
maxina	machine	to	to
maxkurtocu	; shorten (_become shorter_)	to	to
maxkurtogi	; shorten (_make shorter_)	to	to
maxlilcu	; become or get smaller	to	to
maxlilgi	; cause (something) to be smaller, make (something) smaller	to	to
maxlungocu	; lengthen (_become longer_)	to	to
maxlungogi	extension, lengthening; lengthen, extend	to	to
maxmelicu	; beautify (_become more beautiful_)	to	to
maxmeligi	; beautify (_make more beautiful_)	to	to
maxoriya	majority	to	to
maxpahnacu	; widen (_become wider_)	to	to
maxpahnagi	; widen (_cause to be wider_)	to	to
maxusgi	addition; add	to	to
maxusxey	addition, attachment, appendix	to	to
maxvelosicu	acceleration; accelerate, speed up	to	to
maxya	more	to	to
maydo	sale; sell		to
maydotora	vending machine	to	to
maydoyen	seller	te	te
maymun	monkey, ape	te	te
mayones	mayonnaise, mayo	to	to
mazbahu	altar		to
medala	medal		to
medan	field, range, court, courtyard, yard, patio		to
medis	medicine (_science, practice_); treat (_practice medicine on_)	to	to
medisdoku	prescription	to	to
medisdom	clinic	to	to
medisente	medication, medicine; medicate (_treat with medication_)	to	to
medisya	(medical) treatment	to	to
medisyen	physician, doctor	te	te
medita	meditation; meditate		to
meditayen	meditator	te	te
medya	medium, media		to
megagon	megagon, 1000000-gon	to	to
meganyan	megayear, millionennium	to	to
megu	cloud	to	to
mehman	guest	te	te
mehmandom	hostel	to	to
mehmangi	hosting; host	to	to
mehmangiyen	host	te	te
mekani	mechanism		to
mekanilogi	mechanics	to	to
mekaniyen	mechanic	te	te
mekuku	shuttle (_sewing tool or vehicle_)	to	to
melase	molasses, treacle	to	to
melicu	; beautify (_become beautiful_)	to	to
melieskri	calligraphy		to
meligi	; beautify (_make beautiful_)	to	to
meliya	beauty	to	to
meliyen	beauty, beautiful one	te	te
melodi	melody, tune		to
melodrama	melodrama	to	to
melon	melon, tit (_breast_, _vulgar_)	te, to	to, te
membrana	membrane	to	to
membro	member		te, to
membrocu	; become a member, join	to	to
meme	sheep, _Ovis aries_	te	te
memelari	flock, flock of sheep		
mememaso	mutton	to	to
memesa	meh, bah	to	to
memeyen	shepherd 	te	te
memori	memory, recollection; remember, recall		to
memorigi	reminder; remind	to	to
memorikalya	amnesia	to	to
memorikarta	flashcard	to	to
memoriosis	amnesia	to	to
mena	meaning, sense; mean	to	to
menagi	definition; define	to	to
menalari	dictionary		to
mendelevyum	mendelevium, Md	to	to
meniki	immunity; immunize	to	to
menikipul	immune		
menikiya	immunization	to	to
menu	menu		to
menumon	menu item		to
menxar	saw (_tool_); saw	to	to
merasem	ceremony		to
mesa	table	to	to
mesajabal	mesa	to	to
mesaje	message, text (message); (send) message, (send) text		to
mesajeyen	messenger	te	te
mesakumax	tablecloth		to
mesatenis	table tennis, pingpong	to	to
mesi	month	to	to
mesi care	April		to
mesi des	October		to
mesi des dua	December		to
mesi des un	November		
mesi dua	February		
mesi lima	May		
mesi nue	September 		
mesi oco	August		
mesi sabe	July		
mesi sisa	June		
mesi tiga	March		
mesi un	January		
mesi un dua	December		
mesi un un	November		
mesiridin	monthiversary, monthly anniversary, mensiversary	to	to
metabolis	metabolism; metabolize	to	to
metal	metal	to	to
metallogi	metallurgy	to	to
metalpesa	metal currency, coinage	to	to
metan	methane	to	to
meteor	meteor, shooting star	to	to
meteorpetra	meteorite	to	to
meteortenmun	meteoroid	to	to
meter	measuring device; measure	to	to
meterje	dimension	to	to
meterya	measurement	to	to
metneryum	meitnerium, Mt	to	to
metode	method, approach, means		
metro	meter, metre, m	to	to
mexale	torch	to	to
Mexiko	Mexico	to	to
Mexikoyen	Mexican (person)	te	te
meyar	criterion, criteria		
meydey	emergency	to	to
meykapu	makeup; apply makeup		
meylu	slope, inclination, incline, slant, bank, lean, oblique, tilt; incline, tilt	to	to
meyu	brow	to	to
meyubelo	eyebrow	to	to
mezadu	auction; auction (off)	to	to
mezaduyen	auctioneer	te	te
mezmur	psalm	to	to
mida	stomach	to	to
midaitis	gastritis	to	to
midieskol	middle school, junior high school		
midinoce	midnight	to	to
midinuru	noon	to	to
midiyam	lunch	to	to
mijuje	density, concentration	to	to
Mika	Micah	te	te
Mikael	Michael, Mike	te	te
mikasi	(pair of) scissors	to	to
mikrobiologi	microbiology	to	to
mikrometro	micrometer, micrometre	to	to
Mikronesi	Micronesia	to	to
mikrookotul	microscope	to	to
mila	mile	to	to
milaje	mileage	to	to
milatu	mortar, plaster	to	to
milimetro	millimeter, millimetre	to	to
milki	(landed) property, (real) estate	to	to
milko	milk	to	to
Milkodao	Milky Way		
milkoproduti	dairy		
mimu	meme		
min kom	fewer than, less than		
mina	mine (_explosive_)	to	to
mincu	decrease, reduction; decrease, reduce	to	to
mineral	mineral		
mingal	sickle, scythe	to	to
mingi	decrease, reduction; decrease, reduce	to	to
mingucu	; become clear, become evident	to	to
mingugi	clarification; clarify	to	to
minguya	clarity	to	to
Mingwan	Pluto (_dwarf planet_)	to	to
minimumismo	minimalism	to	to
minimumya	(the) minimum	to	to
minoriya	minority	to	to
minta	mint	te	te
minusgi	subtraction, deletion; subtract, delete	to	to
minusxey	exception	to	to
minuto	minute, min	to	to
minxihaki	civil rights		
minxilogi	civics	to	to
minxiyen	citizen	te	te
minya	less	to	to
mirkato	meerkat, _Suricata_	te	te
misal	example		
mismari	nail (_construction_)	to	to
misyon	mission		
Mitila	Mithila, Tirhut, Tirabhukti (_geographical and cultural region of the Indian subcontinent_)	to	to
Mitilasa	Maithili (language)	to	to
Mitilayen	Maithil, Tirhutiya, Videha, Mithilawasi (person)	te	te
mitin	meeting (_for discussion_)		
mito	myth		
mitologi	mythology	to	to
mixin	superstition		
mixtura	mixture, blend; mix, blend		
mixturamon	ingredient		
mixturatora	blender	to	to
miya	ego, self	to	to
miza	mass (_religion_)		
mizani	scales, balance	to	to
moama	enigma, riddle, puzzle		
mobe	gull, seagull, mew, _Laridae_	te	te
mobil	car, auto, automobile	to	to
mobilkamer	garage	to	to
moda	fashion, trend, fad, mode		
modelo	model		
modernoya	modernity	to	to
moge	brain	to	to
mogebadam	amygdala	to	to
mogeitis	encephalitis	to	to
