Word	EnglishTranslation	Pronoun (raw)	Pronoun
baxgi	; put under	to	to
baxixu	teen, teenager, adolescent (_underage_)		te
baxjungwi	ensign, second lieutenant	te	te
baxoreitis	mumps, parotits	to	to
baxplasi	subject		to
baxpresidiyen	vice president	te	te
baxtexto	subtitle, caption, closed caption		to
baxwoju	; support (_from below_)		to
baxya	underneath; be under, be underneath	to	to
baxyen	subordinate	te	te
bayoneta	bayonet	to	to
bayti	byte	to	to
baytu	house	to	to
bazar	market, bazaar	to	to
bazu	hawk, _Accipitridae_	te	te
beadopsiyen	adopted child	te	te
beadresuyen	addressee	te	te
bearestoyen	arrestee	te	te
beasuransuyen	insured party	te	te
bebatizayen	baptizand	te	te
bebe	baby, child (_informal for daughter, son_)	te	te
bebinanyen	refugee	te	te
befaydayen	beneficiary	te	te
befobi	; fear, be afraid (of)	to	to
befuraha	; enjoy	to	to
begiximyen	suspect	te	te
begoyonyen	employee	te	te
beinterviuyen	interviewee	te	te
beker	beaker	to	to
bekerel	becquerel, Bq	to	to
Bekerel	Becquerel	te	te
bekiryen	virgin	te	te
bekoneyen	acquaintance	te	te
bekreayen	creature	te	te
belaka	raft	to	to
Belarus	Belarus	to	to
Belarussa	Belarusian (language)	to	to
Belaw	Palau	to	to
Belgi	Belgium	to	to
Belgiyen	Belgian	te	te
Belinshawsen	Bellingshausen	te	te
Belize	Belize	to	to
Belizeyen	Belizean (_person_)	te	te
belo	hair, fur	to	to
belomon	single hair, strand of hair, strand of fur		to
beltu	belt		to
belu	bel (unit)	to	to
belubiyen	loved one	te	te
Belzebul	Beelzebub	te	te
bembi	constipation; constipate, get constipated	to	to
bemedisyen	patient	te	te
bendaji	bandage, dressing; bandage, dress	to	to
bendu	tape, band, strip, strap, ribbon		to
bendutaji	diadem, tiara	to	to
benge	excuse, pretext, justification; make excuses (for), excuse, justify (oneself)		to
Benin	Benin	to	to
Beninyen	Beninese (_person_)	te	te
benji	essence (_intrinsic quality_)		to
benjilexi	noun, verb, noun-verb word	to	to
benjunfo	dialectics, dialectic	to	to
benki	bench	to	to
benti	calf (_anatomy_)	to	to
Benyamin	Benjamin	te	te
benzol	benzene, benzole		to
bepayayen	payee	te	te
beri	berry	te, to	to, te
berilyum	beryllium, Be	to	to
Bering	Bering	te	te
berkelyum	berkelium, Bk	to	to
bete	daughter, son, child, children	te	te
beton	concrete (_material_)	to	to
betula	birch (tree)	te	te
bexikaryen	game, prey	te	te
bexin	jury		
bexorfobi	get scared (of)	to	to
beygel	bagel	to	to
beykon	bacon	to	to
beze	bee, _Anthophila_	te	te
bezedom	apiary	to	to
bezekaxa	beehive	to	to
bezelari	swarm of bees		
bezeyen	beekeeper	te	te
biber	beaver, _Castor_	te	te
bibi	honk; honk	to	to
Bibli	(the) Bible		
bideti	bidet		to
bidzu	bead	to	to
bija 	seed; sow		te
bijamosem	spring	to	to
bikini	bikini	to	to
bildircin	quail	te	te
bilyardi	billiards, pool, cue sport	to	to
bimarcu	; get sick, fall ill	to	to
bimargi	; sicken, make sick, make ill	to	to
bimarya	illness, disease	to	to
bimaryen	patient, sick person	te	te
bimaryendom	hospital	to	to
binan	refuge, shelter; give refuge, shelter		to
binandom	asylum, refuge	to	to
binde	binding; tie, bind, fasten (together)		to
bindetul	buckle	to	to
bingo	bingo	to	to
bio	life (_organisms_)		
biodoyanya	biodiversity	to	to
biokimika	biochemistry		to
biologi	biology	to	to
biologiyen	biologist	te	te
biomekanilogi	biomechanics	to	to
biotekno	biotechnology		to
bioyen	life form, living organism, being	te	te
bira	beer	to	to
biradom	bar, pub, tavern, brewery	to	to
biradomyen	bartender	te	te
birke	pool, puddle; pool		to
bisagra	hinge	to	to
biskiti	cookie, biscuit	to	to
biskopo	bishop		te
bismuto	bismuth, Bi	to	to
bisnes	business	to	to
bisnesyen	businessman, businesswoman	te	te
bison	bison	te	te
bistar	bed	to	to
bisteki	steak, beefsteak	to	to
biti	bit (_unit of information_)	to	to
bitu	beet	te, to	to, te
bla	chat; chat	to	to
bladom	chat room	to	to
blakjaku	blackjack	to	to
bleydo	(knife) blade	to	to
blogu	blog; blog	to	to
bloki	blocking, obstruction, prevention; block, obstruct, prevent, avoid		to
bluebalena	blue whale, _Balaenoptera musculus_	te	te
blueberi	blueberry	te, to	to, te
blueya	blueness, blue color, color blue	to	to
blusa	blouse	to	to
boboya	stupidity	to	to
boboyen	idiot	te	te
bocan	compensation; compensate		to
bodon	riot, tumult; riot		to
bodontim	mob, rabble		
bodonyen	rioter	te	te
Bofort	Beaufort	te	te
bofun	storm	to	to
bohay	persecution; persecute		to
boksi	boxing; box (_combat sport_)		to
boksiyen	boxer, pugilist	te	te
bol	ball, testicle (_sexualized_)	to	to
boleto	porcini, cep, _Boletus_	te	te
Bolivi	Bolivia	to	to
boloku	block (_approximately cuboid or rectangular object or group_), bloc	to	to
bolokuflutu	recorder, block flute	to	to
bomba	bomb; bomb	to	to
bombaya	bombing	to	to
bon jiwa	goodbye (_expecting long absence or separation_)	to	to
bon xanse	(good) luck	to	to
bonata	welcome; be welcome; welcome	to	to
bonatagi	welcome	to	to
boncu	; become good, get good	to	to
bongeniismo	eugenics	to	to
bongi	; make good	to	to
bongibe	donation; donate		to
bonglu	toast; (drink a) toast; cheers	to	to
bonhifazi	maintentance, upkeep; maintain		to
bonjiwa	welfare; live well, be well; greetings (_after long absence or separation_)		to
bonjotay	well-being		to
bonlexi	euphemism	to	to
bonmorcu	euthanasia	to	to
bonobo	bonobo, _Pan paniscus_	te	te
bonus	bonus		
bonya	goodness	to	to
bonyen	good person, good guy	te	te
boron	boron, B	to	to
Borosa	Boro, Bodo (language)	to	to
Boroyen	Boro, Bodo (person)	te	te
borsuke	badger	te	te
bortokal	orange (_fruit_)	te, to	to, te
bortokaljusu	orange juice	to	to
bortokalsui	orangeade	to	to
boryum	bohrium, Bh	to	to
Bosna ji Hertsegovina	Bosnia and Herzegovina	to	to
bota	boot	to	to
botela	bottle	to	to
Boti	Tibet	to	to
Botswana	Botswana	to	to
bowlin	bowling; bowl	to	to
bowlinbol	bowling ball	to	to
bowlinyen	bowler	te	te
boya	buoy		to
boykoti	boycott; boycott		to
boyle	boil; boil	to	to
boyletora	boiler	to	to
boyletul	kettle	to	to
Boysen	Boysen	te	te
boysenberi	boysenberry, _R. ursinus × R. idaeus_	te, to	to, te
bozi	goat, _Capra hircus_	te	te
bozisa	bleat	to	to
brandi	brandy	to	to
brawa	swamp, marsh	to	to
brawse	browse (the web)	to	to
brawsetul	browser	to	to
brayle	braille		to
Brazavilkongo	Republic of the Congo	to	to
Brazil	Brazil	to	to
Brazilyen	Brazilian	te	te
Brendan	Brendan	te	te
bretzel	pretzel	to	to
breyki	brake(s); brake	to	to
brila	shine; shine		to
Briti	United Kingdom, UK, Britain	to	to
Britiyen	Brit	te	te
broda	beard	to	to
brokoli	broccoli	te, to	to, te
bromin	bromine, Br	to	to
bronki	bronchus, bronchial tube	to	to
bronze	bronze	to	to
broxa	brush; brush	to	to
Brunay	Brunei	to	to
brunoya	browness, brown color, color brown	to	to
bubu	butt (_informal_)		to
bucun	supplement; supplement		to
Buda	Buddha	te	te
Budaismo	Buddhism	to	to
Budaista	Buddhist	te	te
Budu	Mercury (_planet_)	to	to
bududin	Wednesday	to	to
bufeti	buffet	to	to
buhar	steam, vapor; steam		to
buharkoki	steaming; steam		to
bujeto	budget; budget	to	to
bujo	capture, catch; capture, catch		to
bujotul	trap	to	to
buka	opening; open		to
bukaxey	(an) opening	to	to
bulbula	bubble; bubble		to
bulbulu	nightingale, _Luscinia_	te	te
Bule	Boole	te	te
bulevar	boulevard		to
Bulgari	Bulgaria	to	to
Bulgarisa	Bulgarian (language)	to	to
Bulgariyen	Bulgarian (_person_)	te	te
bulyon	broth, bouillon, stock	to	to
bum	explosion, blast; explode; boom	to	to
bumabilxey	explosive	to	to
bumbi	secretion; secrete		to
bumeran	boomerang	to	to
bumgi	detonation; detonate	to	to
bumgitul	detonator	to	to
bune	beech (tree), beechwood, _Fagus_	te	te
bunhway	collapse; collapse		to
bunman	grudge, resentment, indignation, rancor, bitterness; resent, hold a grudge (against)	to	to
burbaytu	hovel	to	to
burbla	chatter	to	to
burcu	; become bad, get bad	to	to
burdava	narcotic	to	to
burdoyday	abuse, mistreatment; abuse, mistreat		to
burfahuriya	arrogance	to	to
burfilya	addiction	to	to
burgi	; make bad	to	to
burhazam	indigestion	to	to
burikaw	addiction; be addicted (to)		to
burinforme	disinformation; disinform		to
burito	burrito	to	to
burjumun	curse, hex		to
Burkina	Burkina Faso	to	to
burlabas	rag(s)		to
burlexi	swearword, expletive; swear, curse	to	to
burmobil	jalopy, junker, banger, bucket of bolts, lemon, clunker	to	to
burnasacu	stench; stink, reek	to	to
burnini	brat		te
burpala	babble		to
burplanta	weed	te	te
burroya	nightmare; have a nightmare, have nightmares		to
bursoti	noise		to
burtrafiko	gridlock, traffic jam		to
burtyan	stain, blemish		to
burxanse	bad luck		to
burxohra	infamy		to
burya	evil, badness	to	to
