Word		DirectURL	SourcePage	
ardwazi	slate	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Slate_%28Knife_Lake_Formation%2C_metamorphism_at_2.7_Ga%2C_Neoarchean%3B_Rt._135_roadcut%2C_Gilbert%2C_Minnesota%2C_USA%29_3_%2823140002749%29.jpg/960px-Slate_%28Knife_Lake_Formation%2C_metamorphism_at_2.7_Ga%2C_Neoarchean%3B_Rt._135_roadcut%2C_Gilbert%2C_Minnesota%2C_USA%29_3_%2823140002749%29.jpg	https://en.wikipedia.org/wiki/File:Slate_(Knife_Lake_Formation	
are	minister, pastor (_male or female_) 			
arena	arena	https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Madison_Square_Garden%2C_February_2013.jpg/960px-Madison_Square_Garden%2C_February_2013.jpg	https://en.wikipedia.org/wiki/File:Madison_Square_Garden	
aresto	arrest; arrest, apprehend, take into custody	https://upload.wikimedia.org/wikipedia/commons/5/52/ICE.XCheckII.3cops1arrest.jpg	https://en.wikipedia.org/wiki/File:ICE.XCheckII.3cops1arrest.jpg	
arestoamiru	(arrest) warrant			
arestokamer	(prison) cell			
Argentina	Argentina			
Argentinali	Argentine, Argentinian			
Argentinayen	Argentine, Argentinian			
argon	argon, Ar	https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Argon_discharge_tube.jpg/960px-Argon_discharge_tube.jpg	https://en.wikipedia.org/wiki/File:Argon_discharge_tube.jpg	
aristo	aristocratic, noble			
Aristotel	Aristotle			
aritmeti	arithmetic	https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Arithmetic_operations.svg/512px-Arithmetic_operations.svg.png	https://en.wikipedia.org/wiki/File:Arithmetic_operations.svg	
Arkimede	Archimedes			
arkitetur	architecture			
arkiteturli 	architectural; architecturally			
arkiteturyen	architect	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Architect.png/500px-Architect.png	https://en.wikipedia.org/wiki/File:Architect.png	
arko	arc, arch, bow			
armadilo	armadillo, _Cingulata_	https://upload.wikimedia.org/wikipedia/commons/7/7f/9-banded-armadillo.jpg	https://species.wikimedia.org/wiki/File:9-banded-armadillo.jpg	
armoni	harmony			
armonika	harmonica	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/16-hole_chrom_10-hole_diatonic.jpg/960px-16-hole_chrom_10-hole_diatonic.jpg	https://en.wikipedia.org/wiki/File:16-hole_chrom_10-hole_diatonic.jpg	
armonipul	harmonious; harmoniously			
Aron	Aaron			
arpa	harp	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Harp.png/481px-Harp.png	https://en.wikipedia.org/wiki/File:Harp.png	
arpun	harpoon; harpoon	https://upload.wikimedia.org/wikipedia/commons/f/ff/Inuit_hunter_with_harpoon.jpg	https://en.wikipedia.org/wiki/File:Inuit_hunter_with_harpoon.jpg	
arseniko	arsenic, As	https://upload.wikimedia.org/wikipedia/commons/7/7b/Arsen_1a.jpg	https://en.wikipedia.org/wiki/File:Arsen_1a.jpg	
arte	art	https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Art-portrait-collage_2.jpg/600px-Art-portrait-collage_2.jpg	https://en.wikipedia.org/wiki/File:Art-portrait-collage_2.jpg	
arteatex	fireworks	https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/2013_Fireworks_on_Eiffel_Tower_10.jpg/960px-2013_Fireworks_on_Eiffel_Tower_10.jpg	https://commons.wikimedia.org/wiki/File:2013_Fireworks_on_Eiffel_Tower_10.jpg	
artedom	(art) studio			
arteeskol	art school	https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Bashkirtseff_-_In_the_Studio.jpg/960px-Bashkirtseff_-_In_the_Studio.jpg	https://en.wikipedia.org/wiki/File:Bashkirtseff_-_In_the_Studio.jpg	
artefil	artistic (_tendency towards art_); artistically			
artefilyen	art lover			
arteli	art, artistic (_relating to art_); artistically			
artemahara	artistry			
artepul	artistic; artistically			
artexey	work of art			
arteyen	artist			
articoku	artichoke	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Artichoke_J1.jpg/500px-Artichoke_J1.jpg	https://en.wikipedia.org/wiki/File:Artichoke_J1.jpg	
artikel	article (_grammar_)			
Artiko	Arctic (_region or ocean_)	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Arctic_%28orthographic_projection_with_highlights%29.svg/512px-Arctic_%28orthographic_projection_with_highlights%29.svg.png	https://commons.wikimedia.org/wiki/File:Arctic_(orthographic_projection_with_highlights).svg	
artro	joint	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Joint.svg/800px-Joint.svg.png	https://en.wikipedia.org/wiki/File:Joint.svg	
artroitis	arthritis	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Osteoarthritis_in_the_left_hand_index_finger.jpg/500px-Osteoarthritis_in_the_left_hand_index_finger.jpg	https://en.wikipedia.org/wiki/File:Osteoarthritis_in_the_left_hand_index_finger.jpg	
artroitisli	arthritic	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Osteoarthritis_in_the_left_hand_index_finger.jpg/500px-Osteoarthritis_in_the_left_hand_index_finger.jpg	https://en.wikipedia.org/wiki/File:Osteoarthritis_in_the_left_hand_index_finger.jpg	
artropeda	arthropod, _Arthropoda_	https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Arthropoda.jpg/500px-Arthropoda.jpg	https://species.wikimedia.org/wiki/File:Arthropoda.jpg	
asalu	honey	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Miels_d%27Alsace_agriculture_biologique.jpg/960px-Miels_d%27Alsace_agriculture_biologique.jpg	https://en.wikipedia.org/wiki/File:Miels_d%27Alsace_agriculture_biologique.jpg	
asan	easy; easily			
asancu	become easy			
asangi	make easy			
asanxey	convenience			
asanya	ease			
asel	origin, source; originate			
aselli	original (_first, initial_), native; originally, natively			
aselpul	original; originally			
asfalto	asphalt			
Asia	Asia	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Asia_%28orthographic_projection%29_without_New_Guinea.svg/541px-Asia_%28orthographic_projection%29_without_New_Guinea.svg.png	https://commons.wikimedia.org/wiki/File:Asia_(orthographic_projection)_without_New_Guinea.svg	
Asiali	Asian			
Asiayen	Asian			
asif	regret; regret, be sorry (about); sorry			
asifpul	regretful; regretfully			
asifpulya	regretfulness			
askeri	army, infantry, troop			
askerilari	infantry	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/CJEF_joint_training_Exercise_Wessex_Storm_2020_MOD_45167425.jpg/960px-CJEF_joint_training_Exercise_Wessex_Storm_2020_MOD_45167425.jpg	https://en.wikipedia.org/wiki/File:CJEF_joint_training_Exercise_Wessex_Storm_2020_MOD_45167425.jpg	
askeritim	army	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Army_Corps_at_the_Victory_parade.jpg/960px-Army_Corps_at_the_Victory_parade.jpg	https://en.wikipedia.org/wiki/File:Army_Corps_at_the_Victory_parade.jpg	
askeriyen	soldier	https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/2ID_Recon_Baghdad.jpg/960px-2ID_Recon_Baghdad.jpg	https://commons.wikimedia.org/wiki/File:2ID_Recon_Baghdad.jpg	
asman	sky	https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Sky_over_Munich_02.jpg/960px-Sky_over_Munich_02.jpg	https://commons.wikimedia.org/wiki/File:Sky_over_Munich_02.jpg	
asmankolordo	sky blue	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Shades_of_light_blue.png/600px-Shades_of_light_blue.png	https://en.wikipedia.org/wiki/File:Shades_of_light_blue.png	
asmansim	sky blue	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Shades_of_light_blue.png/600px-Shades_of_light_blue.png	https://en.wikipedia.org/wiki/File:Shades_of_light_blue.png	
asosya	association; associate			
asosyado 	associated			
asosyatim	association			
asosyayen	associate			
Asperger	Asperger (name)			
aspini	pin	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Pins%2C_bone%2C_bronze%2C_Bronze_Age%2C_City_of_Prague_Museum%2C_175904.jpg/960px-Pins%2C_bone%2C_bronze%2C_Bronze_Age%2C_City_of_Prague_Museum%2C_175904.jpg	https://en.wikipedia.org/wiki/File:Pins	
astama	asthma	https://upload.wikimedia.org/wikipedia/commons/7/70/Asthma_attack.PNG	https://commons.wikimedia.org/wiki/File:Asthma_attack.PNG	
astamakrisis	asthma attack			
astamali	asthmatic (_relating to asthma_)			
astamayen	asthmatic (_one who suffers from asthma_)			
astatin	astatine, At			
asteroyde	asteroid	https://upload.wikimedia.org/wikipedia/commons/e/e5/Eros_-_PIA02923_%28color%29.jpg	https://commons.wikimedia.org/wiki/File:Eros_-_PIA02923_(color).jpg	
astrato	abstract; abstractly			
astratoxey	abstraction (_count noun_)			
astratoya	abstraction (_non-count noun_), abstractness			
asuransu	insurance; insure			
asuransuli kontrata	insurance policy			
ata	coming; come			
atake	attack; attack, charge			
atakefil	aggressive; aggressively			
atakeyen	attacker			
atex	fire; burn (_be on fire, be consumed by fire, destroy with fire_), light (_with fire_)	https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Fire_looped_2.gif/960px-Fire_looped_2.gif	https://commons.wikimedia.org/wiki/File:Fire_looped_2.gif	
atexdom	fireplace	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Open_fireplace_with_icon.jpg/500px-Open_fireplace_with_icon.jpg	https://en.wikipedia.org/wiki/File:Open_fireplace_with_icon.jpg	
atexmon	flame	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/DancingFlames.jpg/960px-DancingFlames.jpg	https://en.wikipedia.org/wiki/File:DancingFlames.jpg	
atinyum	actinium, Ac	https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Actinium_sample_%2831481701837%29.png/500px-Actinium_sample_%2831481701837%29.png	https://en.wikipedia.org/wiki/File:Actinium_sample_(31481701837).png	
ativo	active, on; actively			
ativocu	become active			
ativogi	activation; activate, turn on, switch on, power on			
ativoje	activity (_degree of_)			
ativoya	activity (_noncount_), activeness			
Atlantiko	Atlantic (Ocean)	https://upload.wikimedia.org/wikipedia/commons/4/47/Atlantic_Ocean_-_en.png	https://commons.wikimedia.org/wiki/File:Atlantic_Ocean_-_en.png	
atlas	atlas			
Atlas	Atlas			
atleti	athletics			
atletifil	athletic (_tending towards athletics_)			
atletili	athletic (_relating to athletics_)			
atletiyen	athlete	https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Jim_Thorpe%2C_1912_Summer_Olympics.jpg/500px-Jim_Thorpe%2C_1912_Summer_Olympics.jpg	https://en.wikipedia.org/wiki/File:Jim_Thorpe,_1912_Summer_Olympics.jpg	
atmosfer	atmosphere	https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Top_of_Atmosphere.jpg/960px-Top_of_Atmosphere.jpg	https://en.wikipedia.org/wiki/File:Top_of_Atmosphere.jpg	
ato	act, performance; act, play a role			
atolo	atoll	https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Tetiaroa_from_sky.JPG/960px-Tetiaroa_from_sky.JPG	https://en.wikipedia.org/wiki/File:Tetiaroa_from_sky.JPG	
atomu	atom	https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Helium_atom_QM.svg/598px-Helium_atom_QM.svg.png	https://en.wikipedia.org/wiki/File:Helium_atom_QM.svg	
atomubomba	atom bomb, atomic bomb	https://upload.wikimedia.org/wikipedia/commons/0/03/Castle_Bravo_007.jpg	https://commons.wikimedia.org/wiki/File:Castle_Bravo_007.jpg	
atomuli	atomic; atomically			
atopupe	puppet, marionette			
atoya	acting			
atoyen	actor, actress			
atre	parent; parent	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Parents_and_their_baby.jpg/800px-Parents_and_their_baby.jpg	https://en.wikipedia.org/wiki/File:Parents_and_their_baby.jpg	
atrebasa	native language			
atredexa	mother land			
atreli	parental, parenting; parentally			
atreya	parenthood, paternity			
aventur	adventure; venture			
aventurfil	adventurous			
avokato	avocado	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Persea_americana_fruit_2.JPG/500px-Persea_americana_fruit_2.JPG	https://en.wikipedia.org/wiki/File:Persea_americana_fruit_2.JPG	
aw-	away			
awajela	hurry away, hurry off			
awbujo	kidnapping; kidnap, carry off, run away with			
awcu	disappearance; disappear			
awcudo	disappeared			
awcudu	deprivation; take away, deprive (of)			
awcudunenible	unalienable; unalienably			
awdio	audio			
awfe	away from, off			
awfley	fly away			
awgi	(cause to) disappear, get rid of			
awglu	drink up			
awgutonente	analgesic, analgaesic, painkiller, pain reliever			
awidi	leave; leave, go away, depart			
awizin	; relinquish, yield, give up, surrender			
awjeti	elimination, deletion; throw out, throw away, eliminate, delete, discard			
awjuicu	distraction; get distracted, become distracted			
awjuigi	distraction; distract			
awmafu	pardon, let off the hook			
awmotsu	; erase			
awmotsutul	eraser	https://upload.wikimedia.org/wikipedia/commons/c/c4/Benutzung_eines_Radiergummies.gif	https://en.wikipedia.org/wiki/File:Benutzung_eines_Radiergummies.gif	
awnormali	abnormal; abnormally			
awof	away from, off			
awpawbu	flight; run away, flee			
awpel	; drive away, repel 			
awra	aura			
awrestagi	abandonment; abandon			
awsen	absence; be absent, be away			
awsenjenmin	alibi			
awsenli	absent, away, gone			
awsenne	absent, away, gone			
Awstrali	Australia	https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Australia_with_AAT_%28orthographic_projection%29.svg/600px-Australia_with_AAT_%28orthographic_projection%29.svg.png	https://en.wikipedia.org/wiki/File:Australia_with_AAT_(orthographic_projection).svg	
Awstralia	Australia (_continent_), Sahul	https://upload.wikimedia.org/wikipedia/commons/f/f2/Australia_New_Guinea_continent.jpg	https://en.wikipedia.org/wiki/Australia_(continent)#/media/File:Australia_New_Guinea_continent.jpg	
Awstralili	Australian			
Awstraliyen	Australian			
awtenti	authentic, genuine; authentically, genuinely			
awtentigi	authentication, certification, verification; authenticate, certify, verify			
awtentiya	authenticity			
awti	autistic; autistically			
awtiya	autism			
awtiyen	autistic person			
awto-	auto-, automatic, autonomous			
awtoahamible	self-evident			
awtomati	automatic; automatically			
awtomimbay	self-evident			
awtonom	autonomous; autonomously, by itself			
awtonomya	autonomy			
awtorita	authority; authorize			
awtoritafil	authoritarian; authoritarianly			
awtoritapul	authoritative; authoritatively			
awtoritaya	authorization			
awyam	; eat up, eat away			
awyao	biting away; bite away			
awyongu	expenditure; spend, expend			
axam	evening	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Evening_in_Parambikkulam%2C_Kerala%2C_India.jpg/960px-Evening_in_Parambikkulam%2C_Kerala%2C_India.jpg	https://commons.wikimedia.org/wiki/File:Evening_in_Parambikkulam	
axamli 	evening (_of the evening_)			
axamyam	dinner; eat dinner, have dinner			
axke	tear (_eye_); tear (up)			
axkegi	cause (somebody) to tear up, make Isomebody) tear up			
axkekatru	teardrop			
axkemon	teardrop			
axolotle	axolotl, _Ambystoma mexicanum_	https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Axolotl_Wild_Type.jpg/960px-Axolotl_Wild_Type.jpg	https://species.wikimedia.org/wiki/File:Axolotl_Wild_Type.jpg	
ay	ouch, ah (_denotes pain or fear_)			
aya	letter a, ace			
ayay	scream (_in pain or fear_); scream, yell			
ayaygi	cause (somebody) to scream (_in pain or fear_), make (somebody) scream (_in pain or fear_)			
aybu	caress, stroke, pet; caress, stroke, pet			
aybudo	caressed, stroked, petted			
ayna	mirror; mirror, reflect	https://upload.wikimedia.org/wikipedia/commons/5/52/Mirror.jpg	https://en.wikipedia.org/wiki/File:Mirror.jpg	
aynaya	reflection (_of light_)			
aynestaynyum	einsteinium, Es	https://upload.wikimedia.org/wikipedia/commons/5/55/Einsteinium.jpg	https://en.wikipedia.org/wiki/File:Einsteinium.jpg	
ayse	ice	https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Ice_Block%2C_Canal_Park%2C_Duluth_%2832752478892%29.jpg/960px-Ice_Block%2C_Canal_Park%2C_Duluth_%2832752478892%29.jpg	https://en.wikipedia.org/wiki/File:Ice_Block	
aysebarix	hail; hail	https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Granizo.jpg/960px-Granizo.jpg	https://en.wikipedia.org/wiki/File:Granizo.jpg	
ayseeskeyti	ice skating; ice skate	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Ice_Skating_%2812%29.jpg/960px-Ice_Skating_%2812%29.jpg	https://en.wikipedia.org/wiki/File:Ice_Skating_(12).jpg	
aysejabal	iceberg	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Iceberg_in_the_Arctic_with_its_underside_exposed.jpg/960px-Iceberg_in_the_Arctic_with_its_underside_exposed.jpg	https://en.wikipedia.org/wiki/File:Iceberg_in_the_Arctic_with_its_underside_exposed.jpg	
aysekrimu	ice cream	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Ice_cream_with_whipped_cream%2C_chocolate_syrup%2C_and_a_wafer_%28cropped%29.jpg/500px-Ice_cream_with_whipped_cream%2C_chocolate_syrup%2C_and_a_wafer_%28cropped%29.jpg	https://en.wikipedia.org/wiki/File:Ice_cream_with_whipped_cream	
aysemon	piece of ice			
aysenahir	glacier			
aysepul	icy			
Azerbayjan	Azerbaijan	https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Azerbaijan_orthographic_projection.svg/600px-Azerbaijan_orthographic_projection.svg.png	https://en.wikipedia.org/wiki/File:Azerbaijan_orthographic_projection.svg	
Azerbayjanli	Azerbaijani			
Azerbayjansa	Azerbaijani (language), Azeri (language), Azeri Turkic			
Azerbayjanyen	Azerbaijani (person), Azeri (person)			
azizu	dear; dearly			
azizuyen	darling, beloved			
Babilon	Babylon, Babylonia, Babel			
babun	baboon, _Papio_	https://upload.wikimedia.org/wikipedia/commons/e/e2/Hamadryas_Baboon.jpg	https://species.wikimedia.org/wiki/File:Hamadryas_Baboon.jpg	
babur	tiger, _Panthera tigris_	https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Adult_male_Royal_Bengal_tiger.jpg/960px-Adult_male_Royal_Bengal_tiger.jpg	https://species.wikimedia.org/wiki/File:Adult_male_Royal_Bengal_tiger.jpg	
bacelor	bachelor (graduate)			
bacelorya	bachelor's degree, baccalaureate			
bacilus	bacillus			
badam	almond	https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Mandorle_sgusciate.jpg/960px-Mandorle_sgusciate.jpg	https://en.wikipedia.org/wiki/File:Mandorle_sgusciate.jpg	
badammilko	almond milk	https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Home-made_almond_milk%2C_November_2012.jpg/500px-Home-made_almond_milk%2C_November_2012.jpg	https://en.wikipedia.org/wiki/File:Home-made_almond_milk,_November_2012.jpg	
badminton	badminton			
Badowin	Bedouin, Beduin, Bedu			
Bafin	Baffin			
bagala	mule, _Equus mulus_	https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Mule_%281%29.jpg/500px-Mule_%281%29.jpg	https://species.wikimedia.org/wiki/File:Mule_(1).jpg	
bage	artificially divided: part, portion, piece, section; cut (up), portion, allocate			
