	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	ron	gelos
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	rus	ревни́вый
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	rus	ревну́ющий
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	slk	žiarlivý
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	slv	ljubosumen
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	spa	celoso
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	spa	encelado	m
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	sqi	zili	f
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	swe	svartsjuk
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	tgk	рашкин
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	tgl	selos
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	ukr	ревни́вий
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	vie	ghen
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	wln	djalot	m
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	yue	呷醋	tr=haap<sup>3</sup> cou<sup>3</sup>	sc=Hani
eng	jealously	Adverb	tr	jealously	cat	gelosament
eng	jealously	Adverb	tr	jealously	ell	ζηλότυπα
eng	jealously	Adverb	tr	jealously	epo	ĵaluze
eng	jealously	Adverb	tr	jealously	fin	kateellisesti
eng	jealously	Adverb	tr	jealously	fin	mustasukkaisesti
eng	jealously	Adverb	tr	jealously	fra	jalousement
eng	jealously	Adverb	tr	jealously	por	invejosamente
eng	jealously	Adverb	tr	jealously	ron	cu gelozie
eng	jealously	Adverb	tr	jealously	ron	cu invidie
eng	jealously	Adverb	tr	jealously	ron	gelos
eng	jealously	Adverb	tr	jealously	ron	invidios
eng	jealously	Adverb	tr	jealously	spa	celosamente
eng	jealously	Adverb	tr	jealously	spa	con envidia
eng	jealously	Adverb	tr	jealously	spa	envidiosamente
eng	jealously	Adverb	tr	jealously	sqi	xhelozisht
eng	jealously	Adverb	tr	jealously	swe	avundsjuka
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	ang	andung
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	bel	за́вісць	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	bel	за́йздрасць	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	bul	завист	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	cat	gels	m-p
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	ces	závist	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	dan	misundelighed	c
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	deu	Mißgunst	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	ell	ζήλια	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	fin	kateus
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	fra	jalousie	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	gla	eud	m
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	grc	φθόνος
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	hbs	závist	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	hbs	за́вист	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	hye	նախանձ
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	kat	შური
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	kat	შურიანობა
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	lat	invidia	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	lat	zelus	m
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	mkd	завист	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	nld	afgunst	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	nld	nijd	m
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	pol	zawiść	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	pol	zazdrość	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	rus	за́висть	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	slk	závisť	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	slv	zavist	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	sqi	xhelozi	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	swe	avund	c
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	swe	avundsjuka	c
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	ukr	за́висть	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	ukr	за́здрість	f
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	ukr	за́здрощі	m-p
eng	jealousy	Noun	tr	a resentment towards someone for a perceived advantage or superiority they hold	zdj	wivivu	c11
eng	jealousy	Noun	tr	close, zealous vigilance, envy	ang	æfēst
eng	jealousy	Noun	tr	close, zealous vigilance, envy	ang	æfēstnes
eng	jealousy	Noun	tr	close, zealous vigilance, envy	ara	حَسَد	m
eng	jealousy	Noun	tr	close, zealous vigilance, envy	ara	غَبْط	m
eng	jealousy	Noun	tr	close, zealous vigilance, envy	cmn	妒忌	tr=dùjì	sc=Hani
eng	jealousy	Noun	tr	close, zealous vigilance, envy	cmn	羡慕	tr=xiànmù	sc=Hani
eng	jealousy	Noun	tr	close, zealous vigilance, envy	deu	Missgunst	f
eng	jealousy	Noun	tr	close, zealous vigilance, envy	deu	Neid	m
eng	jealousy	Noun	tr	close, zealous vigilance, envy	ell	ζήλια	f
eng	jealousy	Noun	tr	close, zealous vigilance, envy	fra	envie	f
eng	jealousy	Noun	tr	close, zealous vigilance, envy	fra	jalousie	f
eng	jealousy	Noun	tr	close, zealous vigilance, envy	gla	eud	m
eng	jealousy	Noun	tr	close, zealous vigilance, envy	gle	formad	m
eng	jealousy	Noun	tr	close, zealous vigilance, envy	hbs	ljubomora	f
eng	jealousy	Noun	tr	close, zealous vigilance, envy	hbs	zavist	f
eng	jealousy	Noun	tr	close, zealous vigilance, envy	jpn	妬み	tr=ねたみ, netami
eng	jealousy	Noun	tr	close, zealous vigilance, envy	kat	შური
eng	jealousy	Noun	tr	close, zealous vigilance, envy	kat	შურიანობა
eng	jealousy	Noun	tr	close, zealous vigilance, envy	nld	jaloersheid	f
eng	jealousy	Noun	tr	close, zealous vigilance, envy	nld	naijver
eng	jealousy	Noun	tr	close, zealous vigilance, envy	por	inveja
eng	jealousy	Noun	tr	close, zealous vigilance, envy	rus	за́висть	f
eng	jealousy	Noun	tr	close, zealous vigilance, envy	rus	ре́вность
eng	jealousy	Noun	tr	close, zealous vigilance, envy	sga	format	n
eng	jealousy	Noun	tr	close, zealous vigilance, envy	spa	envidia	f
eng	jealousy	Noun	tr	jealous attitude (e.g. fear of infidelity)	ang	andung
eng	jealousy	Noun	tr	jealous attitude (e.g. fear of infidelity)	ara	غَيْرَة	f
eng	jealousy	Noun	tr	jealous attitude (e.g. fear of infidelity)	asm	হিংসা
eng	jealousy	Noun	tr	jealous attitude (e.g. fear of infidelity)	aze	qısqanclıq
eng	jealousy	Noun	tr	jealous attitude (e.g. fear of infidelity)	bel	за́йздрасць	f
eng	jealousy	Noun	tr	jealous attitude (e.g. fear of infidelity)	bel	рэ́ўнасць	f
eng	jealousy	Noun	tr	jealous attitude (e.g. fear of infidelity)	bul	ревност	f
eng	jealousy	Noun	tr	jealous attitude (e.g. fear of infidelity)	cat	gelosia	f
eng	jealousy	Noun	tr	jealous attitude (e.g. fear of infidelity)	ces	žárlivost	f
