eng	leader	Noun	tr	one having authority	mya	ခေါင်းဆောင်
eng	leader	Noun	tr	one having authority	nav	naatʼáanii
eng	leader	Noun	tr	one having authority	nds	Anföhrer	m
eng	leader	Noun	tr	one having authority	nld	aanvoerder	m
eng	leader	Noun	tr	one having authority	nld	aanvoerster	f
eng	leader	Noun	tr	one having authority	nld	leider	m
eng	leader	Noun	tr	one having authority	nld	leidster	f
eng	leader	Noun	tr	one having authority	nor	fører	m
eng	leader	Noun	tr	one having authority	nor	leder	m
eng	leader	Noun	tr	one having authority	oji	ogimaa
eng	leader	Noun	tr	one having authority	orm	geggeessaa
eng	leader	Noun	tr	one having authority	orv	вожь	m
eng	leader	Noun	tr	one having authority	pol	lider	m
eng	leader	Noun	tr	one having authority	pol	przywódca	m
eng	leader	Noun	tr	one having authority	pol	szef	m
eng	leader	Noun	tr	one having authority	pol	wódz	m
eng	leader	Noun	tr	one having authority	por	chefe	m
eng	leader	Noun	tr	one having authority	por	líder	m
eng	leader	Noun	tr	one having authority	que	uma
eng	leader	Noun	tr	one having authority	ron	conducător
eng	leader	Noun	tr	one having authority	ron	lider	m
eng	leader	Noun	tr	one having authority	ron	șef	m	alt=şef
eng	leader	Noun	tr	one having authority	rus	вождь	m
eng	leader	Noun	tr	one having authority	rus	глава́	m	f
eng	leader	Noun	tr	one having authority	rus	глава́рь	m
eng	leader	Noun	tr	one having authority	rus	гла́вный	m
eng	leader	Noun	tr	one having authority	rus	ли́дер	m
eng	leader	Noun	tr	one having authority	rus	нача́льник	m
eng	leader	Noun	tr	one having authority	rus	руководи́тель	m
eng	leader	Noun	tr	one having authority	rus	шеф	m
eng	leader	Noun	tr	one having authority	san	नेतृ	m
eng	leader	Noun	tr	one having authority	san	नेत्री	f
eng	leader	Noun	tr	one having authority	san	शिरस्	n	tr=śíras
eng	leader	Noun	tr	one having authority	slk	vodca	m
eng	leader	Noun	tr	one having authority	slv	vodja	m
eng	leader	Noun	tr	one having authority	spa	caudillo	m
eng	leader	Noun	tr	one having authority	spa	dirigente	m
eng	leader	Noun	tr	one having authority	spa	jefe	m
eng	leader	Noun	tr	one having authority	spa	líder	m	f
eng	leader	Noun	tr	one having authority	sqi	prijëse	f
eng	leader	Noun	tr	one having authority	sqi	prijës	m
eng	leader	Noun	tr	one having authority	sqi	udhëheqëse	f
eng	leader	Noun	tr	one having authority	sqi	udhëheqës	m
eng	leader	Noun	tr	one having authority	swa	kiongozi
eng	leader	Noun	tr	one having authority	swb	mukizi mbeli
eng	leader	Noun	tr	one having authority	swe	ledare	c
eng	leader	Noun	tr	one having authority	tam	தலைவர்
eng	leader	Noun	tr	one having authority	tat	юлбашчы
eng	leader	Noun	tr	one having authority	tel	నాయకుడు
eng	leader	Noun	tr	one having authority	tgk	лидер
eng	leader	Noun	tr	one having authority	tgk	роҳбар
eng	leader	Noun	tr	one having authority	tgl	pamuno
eng	leader	Noun	tr	one having authority	tha	ผู้นำ
eng	leader	Noun	tr	one having authority	tha	พระยา
eng	leader	Noun	tr	one having authority	tir	መራሒ
eng	leader	Noun	tr	one having authority	tpi	bigman
eng	leader	Noun	tr	one having authority	tuk	lider
eng	leader	Noun	tr	one having authority	tuk	serdar
eng	leader	Noun	tr	one having authority	tuk	ýolbaşçy
eng	leader	Noun	tr	one having authority	tur	lider
eng	leader	Noun	tr	one having authority	tur	önder
eng	leader	Noun	tr	one having authority	tur	rehber
eng	leader	Noun	tr	one having authority	tur	yolbaşçı
eng	leader	Noun	tr	one having authority	uig	رەھبەر
eng	leader	Noun	tr	one having authority	ukr	вождь	m
eng	leader	Noun	tr	one having authority	ukr	керівни́к	m
eng	leader	Noun	tr	one having authority	ukr	лі́дер	m
eng	leader	Noun	tr	one having authority	uzb	lider
eng	leader	Noun	tr	one having authority	uzb	rahbar
eng	leader	Noun	tr	one having authority	uzb	sardor
eng	leader	Noun	tr	one having authority	uzb	yetakchi
eng	leader	Noun	tr	one having authority	vie	lãnh đạo
eng	leader	Noun	tr	one having authority	vie	領導
eng	leader	Noun	tr	one having authority	vol	dugan
eng	leader	Noun	tr	one having authority	yid	אָנפֿירער	m
eng	leader	Noun	tr	one having authority	yid	אָנפֿירערין	f
