eng	yearn	Verb	tr	to have a strong desire for something or to do something	ell	λαχταρώ
eng	yearn	Verb	tr	to have a strong desire for something or to do something	epo	sopiri
eng	yearn	Verb	tr	to have a strong desire for something or to do something	fin	haikailla
eng	yearn	Verb	tr	to have a strong desire for something or to do something	fin	kaivata
eng	yearn	Verb	tr	to have a strong desire for something or to do something	fra	languir
eng	yearn	Verb	tr	to have a strong desire for something or to do something	grc	ὁμείρομαι
eng	yearn	Verb	tr	to have a strong desire for something or to do something	grc	ποθέω
eng	yearn	Verb	tr	to have a strong desire for something or to do something	hbs	čȅznuti
eng	yearn	Verb	tr	to have a strong desire for something or to do something	hbs	žúdeti
eng	yearn	Verb	tr	to have a strong desire for something or to do something	hbs	žúdjeti
eng	yearn	Verb	tr	to have a strong desire for something or to do something	hbs	жу́дети
eng	yearn	Verb	tr	to have a strong desire for something or to do something	hbs	жу́дјети
eng	yearn	Verb	tr	to have a strong desire for something or to do something	hbs	че̏знути
eng	yearn	Verb	tr	to have a strong desire for something or to do something	heb	השתוקק	tr=hishtokék
eng	yearn	Verb	tr	to have a strong desire for something or to do something	heb	כמה	tr=kamáh
eng	yearn	Verb	tr	to have a strong desire for something or to do something	hun	sóvárog
eng	yearn	Verb	tr	to have a strong desire for something or to do something	hun	vágyódik
eng	yearn	Verb	tr	to have a strong desire for something or to do something	ita	bramare
eng	yearn	Verb	tr	to have a strong desire for something or to do something	jpn	切望	tr=せつぼうする, setsubō suru	alt=切望する
eng	yearn	Verb	tr	to have a strong desire for something or to do something	jpn	恋い慕う	tr=こいしたう, koishitau
eng	yearn	Verb	tr	to have a strong desire for something or to do something	jpn	憧れる	tr=あこがれる, akogareru
eng	yearn	Verb	tr	to have a strong desire for something or to do something	kat	ლტოლვა
eng	yearn	Verb	tr	to have a strong desire for something or to do something	kat	მისწრაფება
eng	yearn	Verb	tr	to have a strong desire for something or to do something	kat	სწრაფვა
eng	yearn	Verb	tr	to have a strong desire for something or to do something	kor	동경하다
eng	yearn	Verb	tr	to have a strong desire for something or to do something	kor	그리워하다
eng	yearn	Verb	tr	to have a strong desire for something or to do something	lat	dēsīderō
