	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Egeria	Proper noun	tr	Asteroid	ell	Ηγερία	f
eng	Egeria	Proper noun	tr	The Roman nymph or goddess	ell	Ηγερία	f
eng	Eger	Proper noun	tr	city in Hungary	hun	Eger
eng	Egyptian cobra	Noun	tr	''Naja haje''	fin	aspiskäärme
eng	Egyptian cobra	Noun	tr	''Naja haje''	fin	egyptinkobra
eng	Egyptian cobra	Noun	tr	''Naja haje''	fin	kleopatrankobra
eng	Egyptian cobra	Noun	tr	''Naja haje''	fra	cobra égyptien	m
eng	Egyptian cobra	Noun	tr	''Naja haje''	rus	еги́петская ко́бра	f
eng	Egyptian cobra	Noun	tr	''Naja haje''	spa	áspid de Cleopatra	f
eng	Egyptian cobra	Noun	tr	''Naja haje''	spa	cobra egipcia	f
eng	Egyptian cobra	Noun	tr	''Naja haje''	swe	egyptisk kobra	c
eng	Egyptian fraction	Noun	tr	unit fraction	fin	yksikkömurtoluku
eng	Egyptian fraction	Noun	tr	unit fraction	mri	hautau waetahi
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	afr	kolgans
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	ara	وَزَّة مِصْرِيَّة
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	bre	ar skilwaz-Egipt
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	bul	египетска гъска	f
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	cat	oca d'Egipte	f
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	ces	husa nilská	f
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	cmn	埃及雁	tr=āijí yàn
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	dan	nilgås
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	deu	Nilgans	f
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	ell	αιγυπτιακή χήνα	f
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	fin	afrikanhanhi
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	fra	ouette d'Égypte	f	c
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	grc	χηναλώπηξ	m
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	heb	יאורית	tr=yʼwryţ
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	hun	nílusi lúd
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	ita	oca egiziana
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	jpn	エジプトガン	tr=ejiputogan
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	mlt	wiżża tal-Eġittu	f
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	nld	nijlgans
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	olo	afrikanhanhi
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	pol	gęś egipska	f
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	pol	gęsiówka egipska	f
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	pol	kazarka egipska	f
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	por	ganso-do-egipto	m
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	ron	gâscă egipteană	f
