	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Slovenia	Proper noun	tr	country in Europe	bod	སི་ལོ་ཝེ་ནི་ཡ
eng	Slovenia	Proper noun	tr	country in Europe	bre	Slovenia
eng	Slovenia	Proper noun	tr	country in Europe	bul	Слове́ния	f	sc=Cyrl
eng	Slovenia	Proper noun	tr	country in Europe	cat	Eslovènia
eng	Slovenia	Proper noun	tr	country in Europe	ces	Slovinsko	n
eng	Slovenia	Proper noun	tr	country in Europe	chr	ᏍᎶᏫᏂᎠ
eng	Slovenia	Proper noun	tr	country in Europe	cmn	斯洛文尼亚	tr=Sīluòwénníyǎ	sc=Hani
eng	Slovenia	Proper noun	tr	country in Europe	cmn	斯洛文尼亞	sc=Hani
eng	Slovenia	Proper noun	tr	country in Europe	cmn	斯洛維尼亞	sc=Hani
eng	Slovenia	Proper noun	tr	country in Europe	cmn	斯洛维尼亚	tr=Sīluòwéiníyǎ	sc=Hani
eng	Slovenia	Proper noun	tr	country in Europe	crh	Sloveniya
eng	Slovenia	Proper noun	tr	country in Europe	dan	Slovenien
eng	Slovenia	Proper noun	tr	country in Europe	deu	Slowenien	n
eng	Slovenia	Proper noun	tr	country in Europe	ell	Σλοβενία	f
eng	Slovenia	Proper noun	tr	country in Europe	epo	Slovenio
eng	Slovenia	Proper noun	tr	country in Europe	epo	Slovenujo
eng	Slovenia	Proper noun	tr	country in Europe	est	Sloveenia
eng	Slovenia	Proper noun	tr	country in Europe	eus	Eslovenia
eng	Slovenia	Proper noun	tr	country in Europe	fao	Slovenia	n
eng	Slovenia	Proper noun	tr	country in Europe	fas	اسلوونی	tr=esloveni
eng	Slovenia	Proper noun	tr	country in Europe	fin	Slovenia
eng	Slovenia	Proper noun	tr	country in Europe	fra	Slovénie	f
eng	Slovenia	Proper noun	tr	country in Europe	fry	Sloveenje
eng	Slovenia	Proper noun	tr	country in Europe	fur	Slovenie
eng	Slovenia	Proper noun	tr	country in Europe	gag	Sloveniya
eng	Slovenia	Proper noun	tr	country in Europe	gle	Slóivéin	f	alt=An tSlóivéin
eng	Slovenia	Proper noun	tr	country in Europe	glg	Eslovenia	f
eng	Slovenia	Proper noun	tr	country in Europe	hau	Sloveniya
eng	Slovenia	Proper noun	tr	country in Europe	hau	Sulobeniya
eng	Slovenia	Proper noun	tr	country in Europe	hbs	Slòvēnija	f
eng	Slovenia	Proper noun	tr	country in Europe	hbs	Сло̀ве̄нија	f	sc=Cyrl
eng	Slovenia	Proper noun	tr	country in Europe	heb	סְלוֹבֶנְיָה	f	tr=sloveniya
eng	Slovenia	Proper noun	tr	country in Europe	hin	स्लोवेनिया	sc=Deva
eng	Slovenia	Proper noun	tr	country in Europe	hun	Szlovénia
eng	Slovenia	Proper noun	tr	country in Europe	hye	Սլովենիա
eng	Slovenia	Proper noun	tr	country in Europe	ido	Slovenia
eng	Slovenia	Proper noun	tr	country in Europe	ind	Slovenia
eng	Slovenia	Proper noun	tr	country in Europe	isl	Slóvenía	f
eng	Slovenia	Proper noun	tr	country in Europe	ita	Slovenia	f
eng	Slovenia	Proper noun	tr	country in Europe	jpn	スロヴェニア	tr=Surovenia
eng	Slovenia	Proper noun	tr	country in Europe	jpn	スロベニア	tr=Surobenia
eng	Slovenia	Proper noun	tr	country in Europe	kat	სლოვენია
eng	Slovenia	Proper noun	tr	country in Europe	kaz	Словения	sc=Cyrl
eng	Slovenia	Proper noun	tr	country in Europe	khm	ស្លូវេនី
eng	Slovenia	Proper noun	tr	country in Europe	kir	Словения	sc=Cyrl
eng	Slovenia	Proper noun	tr	country in Europe	kmr	Slovenya	f
eng	Slovenia	Proper noun	tr	country in Europe	kor	^슬로베니아
eng	Slovenia	Proper noun	tr	country in Europe	lao	ສະໂລເວນີ
eng	Slovenia	Proper noun	tr	country in Europe	lat	Slovenia	f
eng	Slovenia	Proper noun	tr	country in Europe	lav	Slovēnija	f
eng	Slovenia	Proper noun	tr	country in Europe	lit	Slovėnija	f
eng	Slovenia	Proper noun	tr	country in Europe	mal	സ്ലൊവീന്യ
eng	Slovenia	Proper noun	tr	country in Europe	mkd	Словенија	f	sc=Cyrl
eng	Slovenia	Proper noun	tr	country in Europe	mlt	Slovenja
eng	Slovenia	Proper noun	tr	country in Europe	mon	Словени	sc=Cyrl
eng	Slovenia	Proper noun	tr	country in Europe	mri	Horowinia
eng	Slovenia	Proper noun	tr	country in Europe	msa	Slovenia
eng	Slovenia	Proper noun	tr	country in Europe	mya	ဆလိုဗေးနီးယား	sc=Mymr
eng	Slovenia	Proper noun	tr	country in Europe	nav	Słobíín bikéyah
eng	Slovenia	Proper noun	tr	country in Europe	nep	स्लोभेनिया
eng	Slovenia	Proper noun	tr	country in Europe	nld	Slovenië	n
eng	Slovenia	Proper noun	tr	country in Europe	nor	Slovenia
eng	Slovenia	Proper noun	tr	country in Europe	nrf	Slovénie	f
eng	Slovenia	Proper noun	tr	country in Europe	pol	Słowenia	f
eng	Slovenia	Proper noun	tr	country in Europe	por	Eslovénia	f
eng	Slovenia	Proper noun	tr	country in Europe	por	Eslovênia	f
eng	Slovenia	Proper noun	tr	country in Europe	pus	سلوويني	f	tr=slowení
eng	Slovenia	Proper noun	tr	country in Europe	que	Isluwinya
eng	Slovenia	Proper noun	tr	country in Europe	ron	Slovenia	f
eng	Slovenia	Proper noun	tr	country in Europe	rus	Слове́ния	f
eng	Slovenia	Proper noun	tr	country in Europe	sco	Slovenie
eng	Slovenia	Proper noun	tr	country in Europe	sgs	Slovienėjė	f
eng	Slovenia	Proper noun	tr	country in Europe	shn	မိူင်းသလူဝ်ႇဝေးၼီးယႃး
eng	Slovenia	Proper noun	tr	country in Europe	sin	ස්‍ලොවෙනියාව	sc=Sinh
eng	Slovenia	Proper noun	tr	country in Europe	slk	Slovinsko
eng	Slovenia	Proper noun	tr	country in Europe	slv	Slovénija	f
eng	Slovenia	Proper noun	tr	country in Europe	sme	Slovenia
eng	Slovenia	Proper noun	tr	country in Europe	spa	Eslovenia	f
eng	Slovenia	Proper noun	tr	country in Europe	sqi	Sllovenia	f
eng	Slovenia	Proper noun	tr	country in Europe	sqi	Slloveni	f
eng	Slovenia	Proper noun	tr	country in Europe	swa	Slovenia
eng	Slovenia	Proper noun	tr	country in Europe	swe	Slovenien	c
eng	Slovenia	Proper noun	tr	country in Europe	szl	Słowyńijo	f
eng	Slovenia	Proper noun	tr	country in Europe	tat	Словения	sc=Cyrl
eng	Slovenia	Proper noun	tr	country in Europe	tgk	Словения	sc=Cyrl
eng	Slovenia	Proper noun	tr	country in Europe	tgl	Eslobenya
eng	Slovenia	Proper noun	tr	country in Europe	tgl	Islobenya
eng	Slovenia	Proper noun	tr	country in Europe	tha	สโลวีเนีย
eng	Slovenia	Proper noun	tr	country in Europe	tir	ስሎቬኒያ
eng	Slovenia	Proper noun	tr	country in Europe	tuk	Sloweniýa
eng	Slovenia	Proper noun	tr	country in Europe	tur	Slovenya
eng	Slovenia	Proper noun	tr	country in Europe	uig	سلوۋېنىيە
eng	Slovenia	Proper noun	tr	country in Europe	ukr	Слове́нія	f	sc=Cyrl
eng	Slovenia	Proper noun	tr	country in Europe	urd	سلووینیا	tr=sloveniyā	sc=ur-Arab
eng	Slovenia	Proper noun	tr	country in Europe	uzb	Sloveniya
eng	Slovenia	Proper noun	tr	country in Europe	vie	Xlô-ven-ni-a
eng	Slovenia	Proper noun	tr	country in Europe	vro	Sloveeniä
eng	Slovenia	Proper noun	tr	country in Europe	yid	סלאָוועניע
eng	Slovenia	Proper noun	tr	country in Europe	yor	Silofania
eng	Slovenia	Proper noun	tr	country in Europe	yue	斯洛文尼亚	tr=si1 lok6 man4 nei4 aa3	sc=Hani
eng	Slovenia	Proper noun	tr	country in Europe	yue	斯洛文尼亞	sc=Hani
eng	Slovenia	Proper noun	tr	country in Europe	yue	斯洛維尼亞	sc=Hani
eng	Slovenia	Proper noun	tr	country in Europe	yue	斯洛维尼亚	tr=si1 lok6 wai4 nei4 aa3	sc=Hani
eng	Slovenia	Proper noun	tr	country in Europe	zha	Slovenia
eng	Slovincian	Noun	tr	Slovincian (person)	deu	Slovinze	m
eng	Slovincian	Noun	tr	Slovincian (person)	deu	Slovinzerin	f
eng	Slovincian	Noun	tr	Slovincian (person)	deu	Slovinzer	m
eng	Slovincian	Noun	tr	Slovincian (person)	deu	Slovinzin	f
eng	Slovincian	Noun	tr	Slovincian (person)	deu	Slowinze	m
eng	Slovincian	Noun	tr	Slovincian (person)	deu	Slowinzerin	f
eng	Slovincian	Noun	tr	Slovincian (person)	deu	Slowinzer	m
eng	Slovincian	Noun	tr	Slovincian (person)	deu	Slowinzin	f
eng	Slovincian	Noun	tr	Slovincian (person)	fin	slovintsi
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	ara	سْلُوفِينْسِيَّة	f
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	ara	لُغَة سْلُوفِينْسِيَّة	f
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	bel	славі́нская	f
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	bel	славі́нская мо́ва	f
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	bre	slovintseg	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	ces	severní slovinština	f
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	ces	slovinčtina	f
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	csb	słowińsczi jãzëk	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	csb	słowińsczi	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	csb	słowińskô mòwa	f
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	deu	Slovinzisch	n
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	deu	Slowinzisch	n
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	fin	slovintsi
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	fin	slovintsin kieli
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	fra	slovince	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	hbs	slòvīnski	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	hbs	сло̀вӣнски	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	hye	սլովինցերեն
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	ita	slovinzio	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	ita	slovinzo	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	kat	სლოვინცური
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	oci	eslovinç	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	pol	język słowiński	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	pol	słowiński	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	por	eslovíncio	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	por	língua eslovíncia	f
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	ron	slovinciană	f
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	rus	слови́нский	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	rus	слови́нский язы́к	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	rus	слови́нцский	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	rus	слови́нцский язы́к	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	slk	pomoranská slovinčina	f
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	slk	severná slovinčina	f
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	slv	slovinščina	f
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	spa	eslovincio	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	ukr	слові́нська мо́ва	f
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	ukr	слові́нський	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	ukr	слові́нцька мо́ва	f
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	ukr	слові́нцький	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	zlw-slv	slovjĩnsħė gådą̃ńė	n
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	zlw-slv	slovjĩnsħï ją̃zĕk	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	zlw-slv	slovjĩnsħï	m
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	zlw-slv	slôvjinshi	m	alt=slôvjínshi
eng	Slovincian	Proper noun	tr	extinct language of the Slovincian people	zlw-slv	slowjinsci	m
eng	Slovio	Proper noun	tr	an artificial Slavic language	bel	сло́віа	m	sc=Cyrl
eng	Slovio	Proper noun	tr	an artificial Slavic language	bul	сло́вио	m	sc=Cyrl
eng	Slovio	Proper noun	tr	an artificial Slavic language	cmn	斯諾維歐語	sc=Hani
eng	Slovio	Proper noun	tr	an artificial Slavic language	cmn	斯诺维欧语	tr=Sīnuòwéi'ōuyǔ	sc=Hani
eng	Slovio	Proper noun	tr	an artificial Slavic language	deu	Slovio	n
eng	Slovio	Proper noun	tr	an artificial Slavic language	ell	Σλόβιο	sc=Grek
eng	Slovio	Proper noun	tr	an artificial Slavic language	fra	slovio	m
eng	Slovio	Proper noun	tr	an artificial Slavic language	jpn	スロヴィオ	tr=Surovio	sc=Jpan
eng	Slovio	Proper noun	tr	an artificial Slavic language	jpn	スロビオ	tr=Surobio	sc=Jpan
eng	Slovio	Proper noun	tr	an artificial Slavic language	kor	^슬로비오
eng	Slovio	Proper noun	tr	an artificial Slavic language	rus	сло́вио	m
eng	Slovio	Proper noun	tr	an artificial Slavic language	ukr	сло́віо	m	sc=Cyrl
eng	Slovyansk	Proper noun	tr	city	bel	Славя́нск	m	sc=Cyrl
eng	Slovyansk	Proper noun	tr	city	bul	Славянск	sc=Cyrl
eng	Slovyansk	Proper noun	tr	city	cat	Slaviansk
eng	Slovyansk	Proper noun	tr	city	cat	Sloviansk
eng	Slovyansk	Proper noun	tr	city	ces	Slavjansk
eng	Slovyansk	Proper noun	tr	city	ces	Slovjansk
eng	Slovyansk	Proper noun	tr	city	deu	Slowjansk
eng	Slovyansk	Proper noun	tr	city	fra	Slaviansk
eng	Slovyansk	Proper noun	tr	city	fra	Sloviansk
eng	Slovyansk	Proper noun	tr	city	pol	Słowiańsk
eng	Slovyansk	Proper noun	tr	city	rus	Сла́вя́нск	m
eng	Slovyansk	Proper noun	tr	city	spa	Sláviansk
eng	Slovyansk	Proper noun	tr	city	spa	Sloviansk
eng	Slovyansk	Proper noun	tr	city	swe	Slovjansk
eng	Slovyansk	Proper noun	tr	city	ukr	Слов'я́нськ	m	sc=Cyrl
eng	Slutsk	Proper noun	tr	a city in Belarus	hun	Szluck
eng	Slytherin	Noun	tr	Harry Potter team	ces	Zmijozelák	m
eng	Slytherin	Noun	tr	Harry Potter team	ces	Zmijozelan	m
eng	Slytherin	Noun	tr	Harry Potter team	fin	Luihuinen
eng	Slytherin	Noun	tr	Harry Potter team	fra	Serpentard
eng	Slytherin	Noun	tr	Harry Potter team	heb	סלית׳רין	m	tr=slithrin	alt=סלית'רין
eng	Slytherin	Noun	tr	Harry Potter team	hun	Mardekár
eng	Slytherin	Noun	tr	Harry Potter team	jpn	スリザリン	tr=Surizarin
eng	Slytherin	Noun	tr	Harry Potter team	nld	Zwadderaar	m
eng	Slytherin	Noun	tr	Harry Potter team	pol	Ślizgon	m
eng	Slytherin	Noun	tr	Harry Potter team	rus	слизеринец	m
