	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	ita	slavismo	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	mkd	слави́зам	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	mkd	словени́зам	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	pol	slawizm	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	pol	słowianizm	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	por	eslavismo	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	rus	слави́зм	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	rus	славяни́зм	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	slk	slavizmus	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	slk	slovanizmus	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	slv	slavizem	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	slv	slovanizem	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	spa	eslavismo	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	ukr	славі́зм	m
eng	Slavism	Noun	tr	a Slavic idiom or phrase	ukr	слов'яні́зм	m
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	ces	slavista	m
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	cmn	斯拉夫語學家	sc=Hani
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	cmn	斯拉夫语学家	tr=Sīlāfūyǔ xuéjiā	sc=Hani
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	deu	Slawistin	f
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	deu	Slawist	m
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	epo	slavisto
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	fin	slavisti
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	fra	slaviste	m	f
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	hbs	slàvist	m
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	hbs	сла̀вист	m	sc=Cyrl
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	hun	szlavista
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	jpn	スラブ語学者	tr=Surabu-go gakusha
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	pol	slawista	m
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	rus	слави́ст	m
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	rus	слави́стка	f
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	spa	slavista	m	f
eng	Slavist	Noun	tr	specialist in the Slavic languages, literature or culture	tur	Slavist
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	ang	Wined	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	ara	سَلَاف	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	ara	صَقَالِبَة	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	ast	eslavu
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	aze	slavyan
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	bel	славяні́н	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	bel	славя́нка	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	bul	славя́нин	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	bul	славя́нка	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	cat	eslau	m
